Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000236.82022,SP1000236.22.82022,SY1000236.2026.82022,iPad1(1000236),236,01.06.26 19:15,Prod,A1000236.6171,,113,S1000236.82022,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000236.82023,SP1000236.22.82023,SY1000236.2026.82023,iPad1(1000236),236,01.06.26 10:53,Prod,A1000236.6172,,101,S1000236.82023,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000236.82024,SP1000236.22.82024,SY1000236.2026.82024,iPad1(1000236),236,01.06.26 17:00,Prod,A1000236.6173,Tisch 7,113,S1000236.82024,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000236.82025,SP1000236.22.82025,SY1000236.2026.82025,iPad1(1000236),236,01.06.26 17:00,Prod,A1000236.6173,Tisch 7,113,S1000236.82025,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000236.82026,SP1000236.22.82026,SY1000236.2026.82026,iPad1(1000236),236,01.06.26 14:07,Prod,A1000236.6174,Tisch 5,101,S1000236.82026,VOID,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000236.82027,SP1000236.22.82027,SY1000236.2026.82027,iPad1(1000236),236,01.06.26 19:54,Prod,A1000236.6175,Tisch 20,115,S1000236.82027,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000236.82028,SP1000236.22.82028,SY1000236.2026.82028,iPad1(1000236),236,01.06.26 19:54,Prod,A1000236.6175,Tisch 20,115,S1000236.82028,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000236.82029,SP1000236.22.82029,SY1000236.2026.82029,iPad1(1000236),236,01.06.26 18:22,Prod,A1000236.6176,Tisch 8,110,S1000236.82029,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000236.82030,SP1000236.22.82030,SY1000236.2026.82030,iPad1(1000236),236,01.06.26 18:22,Prod,A1000236.6176,Tisch 8,110,S1000236.82030,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000236.82031,SP1000236.22.82031,SY1000236.2026.82031,iPad1(1000236),236,01.06.26 16:32,Prod,A1000236.6177,Tisch 20,108,S1000236.82031,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000236.82032,SP1000236.22.82032,SY1000236.2026.82032,iPad1(1000236),236,01.06.26 16:32,Prod,A1000236.6177,Tisch 20,108,S1000236.82032,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
