Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000040.73555,SP1000040.13.73555,SY1000040.2026.73555,iPad1(1000040),40,01.06.26 17:22,Prod,A1000040.6692,Tisch 12,115,S1000040.73555,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000040.73556,SP1000040.13.73556,SY1000040.2026.73556,iPad1(1000040),40,01.06.26 17:22,Prod,A1000040.6692,Tisch 12,115,S1000040.73556,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000040.73557,SP1000040.13.73557,SY1000040.2026.73557,iPad1(1000040),40,01.06.26 17:22,Prod,A1000040.6692,Tisch 12,115,S1000040.73557,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000040.73558,SP1000040.13.73558,SY1000040.2026.73558,iPad1(1000040),40,01.06.26 10:45,Prod,A1000040.6693,Tisch 4,104,S1000040.73558,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000040.73559,SP1000040.13.73559,SY1000040.2026.73559,iPad1(1000040),40,01.06.26 17:36,Prod,A1000040.6694,Tisch 21,107,S1000040.73559,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000040.73560,SP1000040.13.73560,SY1000040.2026.73560,iPad1(1000040),40,01.06.26 17:36,Prod,A1000040.6694,Tisch 21,107,S1000040.73560,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000040.73561,SP1000040.13.73561,SY1000040.2026.73561,iPad1(1000040),40,01.06.26 19:09,Prod,A1000040.6695,Tisch 7,118,S1000040.73561,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000040.73562,SP1000040.13.73562,SY1000040.2026.73562,iPad1(1000040),40,01.06.26 19:09,Prod,A1000040.6695,Tisch 7,118,S1000040.73562,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000040.73563,SP1000040.13.73563,SY1000040.2026.73563,iPad1(1000040),40,01.06.26 19:09,Prod,A1000040.6695,Tisch 7,118,S1000040.73563,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000040.73564,SP1000040.13.73564,SY1000040.2026.73564,iPad1(1000040),40,01.06.26 19:17,Prod,A1000040.6696,Tisch 19,104,S1000040.73564,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000040.73565,SP1000040.13.73565,SY1000040.2026.73565,iPad1(1000040),40,01.06.26 19:38,Prod,A1000040.6697,Tisch 5,118,S1000040.73565,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000040.73566,SP1000040.13.73566,SY1000040.2026.73566,iPad1(1000040),40,01.06.26 19:02,Prod,A1000040.6698,Tisch 21,115,S1000040.73566,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000040.73567,SP1000040.13.73567,SY1000040.2026.73567,iPad1(1000040),40,01.06.26 19:02,Prod,A1000040.6698,Tisch 21,115,S1000040.73567,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000040.73568,SP1000040.13.73568,SY1000040.2026.73568,iPad1(1000040),40,01.06.26 19:02,Prod,A1000040.6698,Tisch 21,115,S1000040.73568,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000040.73569,SP1000040.13.73569,SY1000040.2026.73569,iPad1(1000040),40,01.06.26 18:24,Prod,A1000040.6699,Tisch 1,115,S1000040.73569,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000040.73570,SP1000040.13.73570,SY1000040.2026.73570,iPad1(1000040),40,01.06.26 11:10,Prod,A1000040.6700,Tisch 4,104,S1000040.73570,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000040.73571,SP1000040.13.73571,SY1000040.2026.73571,iPad1(1000040),40,01.06.26 11:10,Prod,A1000040.6700,Tisch 4,104,S1000040.73571,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000040.73572,SP1000040.13.73572,SY1000040.2026.73572,iPad1(1000040),40,01.06.26 11:10,Prod,A1000040.6700,Tisch 4,104,S1000040.73572,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000040.73573,SP1000040.13.73573,SY1000040.2026.73573,iPad1(1000040),40,01.06.26 11:14,Prod,A1000040.6701,,107,S1000040.73573,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000040.73574,SP1000040.13.73574,SY1000040.2026.73574,iPad1(1000040),40,01.06.26 11:14,Prod,A1000040.6701,,107,S1000040.73574,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000040.73575,SP1000040.13.73575,SY1000040.2026.73575,iPad1(1000040),40,01.06.26 19:48,Prod,A1000040.6702,Tisch 13,102,S1000040.73575,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000040.73576,SP1000040.13.73576,SY1000040.2026.73576,iPad1(1000040),40,01.06.26 19:48,Prod,A1000040.6702,Tisch 13,102,S1000040.73576,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000040.73577,SP1000040.13.73577,SY1000040.2026.73577,iPad1(1000040),40,01.06.26 20:31,Prod,A1000040.6703,Tisch 12,118,S1000040.73577,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000040.73578,SP1000040.13.73578,SY1000040.2026.73578,iPad1(1000040),40,01.06.26 20:31,Prod,A1000040.6703,Tisch 12,118,S1000040.73578,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000040.73579,SP1000040.13.73579,SY1000040.2026.73579,iPad1(1000040),40,01.06.26 11:31,Prod,A1000040.6704,Tisch 14,107,S1000040.73579,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000040.73580,SP1000040.13.73580,SY1000040.2026.73580,iPad1(1000040),40,01.06.26 14:02,Prod,A1000040.6705,Tisch 15,115,S1000040.73580,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
