Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000329.18748,SP1000329.45.18748,SY1000329.2026.18748,iPad1(1000329),329,01.06.26 20:51,Prod,A1000329.6617,Tisch 7,104,S1000329.18748,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000329.18749,SP1000329.45.18749,SY1000329.2026.18749,iPad1(1000329),329,01.06.26 20:51,Prod,A1000329.6617,Tisch 7,104,S1000329.18749,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000329.18750,SP1000329.45.18750,SY1000329.2026.18750,iPad1(1000329),329,01.06.26 18:03,Prod,A1000329.6618,Tisch 22,118,S1000329.18750,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000329.18751,SP1000329.45.18751,SY1000329.2026.18751,iPad1(1000329),329,01.06.26 12:19,Prod,A1000329.6619,,103,S1000329.18751,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000329.18752,SP1000329.45.18752,SY1000329.2026.18752,iPad1(1000329),329,01.06.26 12:19,Prod,A1000329.6619,,103,S1000329.18752,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000329.18753,SP1000329.45.18753,SY1000329.2026.18753,iPad1(1000329),329,01.06.26 12:19,Prod,A1000329.6619,,103,S1000329.18753,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000329.18754,SP1000329.45.18754,SY1000329.2026.18754,iPad1(1000329),329,01.06.26 09:45,Prod,A1000329.6620,Tisch 21,103,S1000329.18754,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000329.18755,SP1000329.45.18755,SY1000329.2026.18755,iPad1(1000329),329,01.06.26 20:43,Prod,A1000329.6621,Tisch 15,104,S1000329.18755,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000329.18756,SP1000329.45.18756,SY1000329.2026.18756,iPad1(1000329),329,01.06.26 20:43,Prod,A1000329.6621,Tisch 15,104,S1000329.18756,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000329.18757,SP1000329.45.18757,SY1000329.2026.18757,iPad1(1000329),329,01.06.26 10:21,Prod,A1000329.6622,Tisch 3,106,S1000329.18757,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
