Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000234.26058,SP1000234.50.26058,SY1000234.2026.26058,iPad1(1000234),234,01.06.26 20:41,Prod,A1000234.6156,Tisch 22,101,S1000234.26058,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000234.26059,SP1000234.50.26059,SY1000234.2026.26059,iPad1(1000234),234,01.06.26 20:41,Prod,A1000234.6156,Tisch 22,101,S1000234.26059,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000234.26060,SP1000234.50.26060,SY1000234.2026.26060,iPad1(1000234),234,01.06.26 20:41,Prod,A1000234.6156,Tisch 22,101,S1000234.26060,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000234.26061,SP1000234.50.26061,SY1000234.2026.26061,iPad1(1000234),234,01.06.26 09:07,Prod,A1000234.6157,Tisch 4,101,S1000234.26061,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000234.26062,SP1000234.50.26062,SY1000234.2026.26062,iPad1(1000234),234,01.06.26 16:22,Prod,A1000234.6158,Tisch 10,119,S1000234.26062,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000234.26063,SP1000234.50.26063,SY1000234.2026.26063,iPad1(1000234),234,01.06.26 16:22,Prod,A1000234.6158,Tisch 10,119,S1000234.26063,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000234.26064,SP1000234.50.26064,SY1000234.2026.26064,iPad1(1000234),234,01.06.26 16:22,Prod,A1000234.6158,Tisch 10,119,S1000234.26064,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000234.26065,SP1000234.50.26065,SY1000234.2026.26065,iPad1(1000234),234,01.06.26 19:37,Prod,A1000234.6159,Tisch 3,112,S1000234.26065,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000234.26066,SP1000234.50.26066,SY1000234.2026.26066,iPad1(1000234),234,01.06.26 19:37,Prod,A1000234.6159,Tisch 3,112,S1000234.26066,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000234.26067,SP1000234.50.26067,SY1000234.2026.26067,iPad1(1000234),234,01.06.26 10:08,Prod,A1000234.6160,Tisch 12,113,S1000234.26067,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000234.26068,SP1000234.50.26068,SY1000234.2026.26068,iPad1(1000234),234,01.06.26 13:56,Prod,A1000234.6161,,101,S1000234.26068,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000234.26069,SP1000234.50.26069,SY1000234.2026.26069,iPad1(1000234),234,01.06.26 10:14,Prod,A1000234.6162,Tisch 13,113,S1000234.26069,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000234.26070,SP1000234.50.26070,SY1000234.2026.26070,iPad1(1000234),234,01.06.26 10:14,Prod,A1000234.6162,Tisch 13,113,S1000234.26070,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000234.26071,SP1000234.50.26071,SY1000234.2026.26071,iPad1(1000234),234,01.06.26 13:32,Prod,A1000234.6163,,108,S1000234.26071,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000234.26072,SP1000234.50.26072,SY1000234.2026.26072,iPad1(1000234),234,01.06.26 20:49,Prod,A1000234.6164,Tisch 18,112,S1000234.26072,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000234.26073,SP1000234.50.26073,SY1000234.2026.26073,iPad1(1000234),234,01.06.26 20:49,Prod,A1000234.6164,Tisch 18,112,S1000234.26073,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000234.26074,SP1000234.50.26074,SY1000234.2026.26074,iPad1(1000234),234,01.06.26 17:38,Prod,A1000234.6165,,101,S1000234.26074,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000234.26075,SP1000234.50.26075,SY1000234.2026.26075,iPad1(1000234),234,01.06.26 17:38,Prod,A1000234.6165,,101,S1000234.26075,VOID,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000234.26076,SP1000234.50.26076,SY1000234.2026.26076,iPad1(1000234),234,01.06.26 17:38,Prod,A1000234.6165,,101,S1000234.26076,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000234.26077,SP1000234.50.26077,SY1000234.2026.26077,iPad1(1000234),234,01.06.26 17:26,Prod,A1000234.6166,Tisch 3,113,S1000234.26077,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
