Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000177.70948,SP1000177.4.70948,SY1000177.2026.70948,iPad1(1000177),177,01.06.26 14:58,Prod,A1000177.6186,Tisch 14,101,S1000177.70948,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000177.70949,SP1000177.4.70949,SY1000177.2026.70949,iPad1(1000177),177,01.06.26 20:55,Prod,A1000177.6187,Tisch 20,111,S1000177.70949,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000177.70950,SP1000177.4.70950,SY1000177.2026.70950,iPad1(1000177),177,01.06.26 20:55,Prod,A1000177.6187,Tisch 20,111,S1000177.70950,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000177.70951,SP1000177.4.70951,SY1000177.2026.70951,iPad1(1000177),177,01.06.26 12:45,Prod,A1000177.6188,Tisch 11,101,S1000177.70951,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000177.70952,SP1000177.4.70952,SY1000177.2026.70952,iPad1(1000177),177,01.06.26 12:45,Prod,A1000177.6188,Tisch 11,101,S1000177.70952,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000177.70953,SP1000177.4.70953,SY1000177.2026.70953,iPad1(1000177),177,01.06.26 20:12,Prod,A1000177.6189,,101,S1000177.70953,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000177.70954,SP1000177.4.70954,SY1000177.2026.70954,iPad1(1000177),177,01.06.26 20:12,Prod,A1000177.6189,,101,S1000177.70954,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000177.70955,SP1000177.4.70955,SY1000177.2026.70955,iPad1(1000177),177,01.06.26 11:15,Prod,A1000177.6190,Tisch 21,103,S1000177.70955,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000177.70956,SP1000177.4.70956,SY1000177.2026.70956,iPad1(1000177),177,01.06.26 11:15,Prod,A1000177.6190,Tisch 21,103,S1000177.70956,VOID,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000177.70957,SP1000177.4.70957,SY1000177.2026.70957,iPad1(1000177),177,01.06.26 11:15,Prod,A1000177.6190,Tisch 21,103,S1000177.70957,VOID,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000177.70958,SP1000177.4.70958,SY1000177.2026.70958,iPad1(1000177),177,01.06.26 20:30,Prod,A1000177.6191,,103,S1000177.70958,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000177.70959,SP1000177.4.70959,SY1000177.2026.70959,iPad1(1000177),177,01.06.26 15:51,Prod,A1000177.6192,Tisch 6,101,S1000177.70959,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000177.70960,SP1000177.4.70960,SY1000177.2026.70960,iPad1(1000177),177,01.06.26 15:51,Prod,A1000177.6192,Tisch 6,101,S1000177.70960,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000177.70961,SP1000177.4.70961,SY1000177.2026.70961,iPad1(1000177),177,01.06.26 12:06,Prod,A1000177.6193,Tisch 6,101,S1000177.70961,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000177.70962,SP1000177.4.70962,SY1000177.2026.70962,iPad1(1000177),177,01.06.26 12:06,Prod,A1000177.6193,Tisch 6,101,S1000177.70962,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000177.70963,SP1000177.4.70963,SY1000177.2026.70963,iPad1(1000177),177,01.06.26 12:06,Prod,A1000177.6193,Tisch 6,101,S1000177.70963,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000177.70964,SP1000177.4.70964,SY1000177.2026.70964,iPad1(1000177),177,01.06.26 20:50,Prod,A1000177.6194,Tisch 14,103,S1000177.70964,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000177.70965,SP1000177.4.70965,SY1000177.2026.70965,iPad1(1000177),177,01.06.26 18:18,Prod,A1000177.6195,Tisch 2,111,S1000177.70965,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000177.70966,SP1000177.4.70966,SY1000177.2026.70966,iPad1(1000177),177,01.06.26 08:52,Prod,A1000177.6196,Tisch 10,111,S1000177.70966,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000177.70967,SP1000177.4.70967,SY1000177.2026.70967,iPad1(1000177),177,01.06.26 18:04,Prod,A1000177.6197,Tisch 15,102,S1000177.70967,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000177.70968,SP1000177.4.70968,SY1000177.2026.70968,iPad1(1000177),177,01.06.26 18:04,Prod,A1000177.6197,Tisch 15,102,S1000177.70968,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000177.70969,SP1000177.4.70969,SY1000177.2026.70969,iPad1(1000177),177,01.06.26 12:12,Prod,A1000177.6198,Tisch 5,112,S1000177.70969,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000177.70970,SP1000177.4.70970,SY1000177.2026.70970,iPad1(1000177),177,01.06.26 12:12,Prod,A1000177.6198,Tisch 5,112,S1000177.70970,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000177.70971,SP1000177.4.70971,SY1000177.2026.70971,iPad1(1000177),177,01.06.26 09:47,Prod,A1000177.6199,Tisch 12,101,S1000177.70971,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000177.70972,SP1000177.4.70972,SY1000177.2026.70972,iPad1(1000177),177,01.06.26 09:47,Prod,A1000177.6199,Tisch 12,101,S1000177.70972,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000177.70973,SP1000177.4.70973,SY1000177.2026.70973,iPad1(1000177),177,01.06.26 18:08,Prod,A1000177.6200,Tisch 10,103,S1000177.70973,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000177.70974,SP1000177.4.70974,SY1000177.2026.70974,iPad1(1000177),177,01.06.26 19:31,Prod,A1000177.6201,Tisch 15,102,S1000177.70974,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000177.70975,SP1000177.4.70975,SY1000177.2026.70975,iPad1(1000177),177,01.06.26 19:09,Prod,A1000177.6202,Tisch 6,101,S1000177.70975,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000177.70976,SP1000177.4.70976,SY1000177.2026.70976,iPad1(1000177),177,01.06.26 19:09,Prod,A1000177.6202,Tisch 6,101,S1000177.70976,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000177.70977,SP1000177.4.70977,SY1000177.2026.70977,iPad1(1000177),177,01.06.26 20:00,Prod,A1000177.6203,Tisch 23,101,S1000177.70977,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000177.70978,SP1000177.4.70978,SY1000177.2026.70978,iPad1(1000177),177,01.06.26 20:00,Prod,A1000177.6203,Tisch 23,101,S1000177.70978,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000177.70979,SP1000177.4.70979,SY1000177.2026.70979,iPad1(1000177),177,01.06.26 13:18,Prod,A1000177.6204,Tisch 21,102,S1000177.70979,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000177.70980,SP1000177.4.70980,SY1000177.2026.70980,iPad1(1000177),177,01.06.26 13:18,Prod,A1000177.6204,Tisch 21,102,S1000177.70980,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000177.70981,SP1000177.4.70981,SY1000177.2026.70981,iPad1(1000177),177,01.06.26 18:46,Prod,A1000177.6205,Tisch 17,111,S1000177.70981,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000177.70982,SP1000177.4.70982,SY1000177.2026.70982,iPad1(1000177),177,01.06.26 11:02,Prod,A1000177.6206,,102,S1000177.70982,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000177.70983,SP1000177.4.70983,SY1000177.2026.70983,iPad1(1000177),177,01.06.26 11:02,Prod,A1000177.6206,,102,S1000177.70983,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000177.70984,SP1000177.4.70984,SY1000177.2026.70984,iPad1(1000177),177,01.06.26 20:53,Prod,A1000177.6207,Tisch 12,101,S1000177.70984,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000177.70985,SP1000177.4.70985,SY1000177.2026.70985,iPad1(1000177),177,01.06.26 17:57,Prod,A1000177.6208,Tisch 2,101,S1000177.70985,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000177.70986,SP1000177.4.70986,SY1000177.2026.70986,iPad1(1000177),177,01.06.26 17:57,Prod,A1000177.6208,Tisch 2,101,S1000177.70986,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000177.70987,SP1000177.4.70987,SY1000177.2026.70987,iPad1(1000177),177,01.06.26 19:41,Prod,A1000177.6209,Tisch 1,101,S1000177.70987,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000177.70988,SP1000177.4.70988,SY1000177.2026.70988,iPad1(1000177),177,01.06.26 19:41,Prod,A1000177.6209,Tisch 1,101,S1000177.70988,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000177.70989,SP1000177.4.70989,SY1000177.2026.70989,iPad1(1000177),177,01.06.26 19:41,Prod,A1000177.6209,Tisch 1,101,S1000177.70989,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000177.70990,SP1000177.4.70990,SY1000177.2026.70990,iPad1(1000177),177,01.06.26 18:34,Prod,A1000177.6210,Tisch 19,101,S1000177.70990,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000177.70991,SP1000177.4.70991,SY1000177.2026.70991,iPad1(1000177),177,01.06.26 11:57,Prod,A1000177.6211,Tisch 17,111,S1000177.70991,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000177.70992,SP1000177.4.70992,SY1000177.2026.70992,iPad1(1000177),177,01.06.26 10:40,Prod,A1000177.6212,Tisch 6,103,S1000177.70992,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000177.70993,SP1000177.4.70993,SY1000177.2026.70993,iPad1(1000177),177,01.06.26 10:40,Prod,A1000177.6212,Tisch 6,103,S1000177.70993,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000177.70994,SP1000177.4.70994,SY1000177.2026.70994,iPad1(1000177),177,01.06.26 16:34,Prod,A1000177.6213,Tisch 5,103,S1000177.70994,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000177.70995,SP1000177.4.70995,SY1000177.2026.70995,iPad1(1000177),177,01.06.26 20:40,Prod,A1000177.6214,Tisch 11,111,S1000177.70995,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000177.70996,SP1000177.4.70996,SY1000177.2026.70996,iPad1(1000177),177,01.06.26 20:40,Prod,A1000177.6214,Tisch 11,111,S1000177.70996,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000177.70997,SP1000177.4.70997,SY1000177.2026.70997,iPad1(1000177),177,01.06.26 18:26,Prod,A1000177.6215,Tisch 19,102,S1000177.70997,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000177.70998,SP1000177.4.70998,SY1000177.2026.70998,iPad1(1000177),177,01.06.26 11:16,Prod,A1000177.6216,Tisch 9,103,S1000177.70998,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000177.70999,SP1000177.4.70999,SY1000177.2026.70999,iPad1(1000177),177,01.06.26 11:16,Prod,A1000177.6216,Tisch 9,103,S1000177.70999,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000177.71000,SP1000177.4.71000,SY1000177.2026.71000,iPad1(1000177),177,01.06.26 09:04,Prod,A1000177.6217,Tisch 14,112,S1000177.71000,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000177.71001,SP1000177.4.71001,SY1000177.2026.71001,iPad1(1000177),177,01.06.26 09:04,Prod,A1000177.6217,Tisch 14,112,S1000177.71001,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000177.71002,SP1000177.4.71002,SY1000177.2026.71002,iPad1(1000177),177,01.06.26 18:56,Prod,A1000177.6218,Tisch 12,101,S1000177.71002,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000177.71003,SP1000177.4.71003,SY1000177.2026.71003,iPad1(1000177),177,01.06.26 18:56,Prod,A1000177.6218,Tisch 12,101,S1000177.71003,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000177.71004,SP1000177.4.71004,SY1000177.2026.71004,iPad1(1000177),177,01.06.26 18:56,Prod,A1000177.6218,Tisch 12,101,S1000177.71004,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000177.71005,SP1000177.4.71005,SY1000177.2026.71005,iPad1(1000177),177,01.06.26 11:54,Prod,A1000177.6219,,102,S1000177.71005,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000177.71006,SP1000177.4.71006,SY1000177.2026.71006,iPad1(1000177),177,01.06.26 11:54,Prod,A1000177.6219,,102,S1000177.71006,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000177.71007,SP1000177.4.71007,SY1000177.2026.71007,iPad1(1000177),177,01.06.26 11:54,Prod,A1000177.6219,,102,S1000177.71007,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000177.71008,SP1000177.4.71008,SY1000177.2026.71008,iPad1(1000177),177,01.06.26 17:49,Prod,A1000177.6220,Tisch 4,103,S1000177.71008,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000177.71009,SP1000177.4.71009,SY1000177.2026.71009,iPad1(1000177),177,01.06.26 18:15,Prod,A1000177.6221,Tisch 19,111,S1000177.71009,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000177.71010,SP1000177.4.71010,SY1000177.2026.71010,iPad1(1000177),177,01.06.26 11:12,Prod,A1000177.6222,Tisch 18,101,S1000177.71010,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000177.71011,SP1000177.4.71011,SY1000177.2026.71011,iPad1(1000177),177,01.06.26 11:12,Prod,A1000177.6222,Tisch 18,101,S1000177.71011,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000177.71012,SP1000177.4.71012,SY1000177.2026.71012,iPad1(1000177),177,01.06.26 11:17,Prod,A1000177.6223,Tisch 15,111,S1000177.71012,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000177.71013,SP1000177.4.71013,SY1000177.2026.71013,iPad1(1000177),177,01.06.26 11:17,Prod,A1000177.6223,Tisch 15,111,S1000177.71013,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000177.71014,SP1000177.4.71014,SY1000177.2026.71014,iPad1(1000177),177,01.06.26 12:22,Prod,A1000177.6224,Tisch 5,101,S1000177.71014,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000177.71015,SP1000177.4.71015,SY1000177.2026.71015,iPad1(1000177),177,01.06.26 12:22,Prod,A1000177.6224,Tisch 5,101,S1000177.71015,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000177.71016,SP1000177.4.71016,SY1000177.2026.71016,iPad1(1000177),177,01.06.26 18:06,Prod,A1000177.6225,Tisch 12,112,S1000177.71016,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000177.71017,SP1000177.4.71017,SY1000177.2026.71017,iPad1(1000177),177,01.06.26 18:06,Prod,A1000177.6225,Tisch 12,112,S1000177.71017,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000177.71018,SP1000177.4.71018,SY1000177.2026.71018,iPad1(1000177),177,01.06.26 18:06,Prod,A1000177.6225,Tisch 12,112,S1000177.71018,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000177.71019,SP1000177.4.71019,SY1000177.2026.71019,iPad1(1000177),177,01.06.26 10:47,Prod,A1000177.6226,Tisch 8,101,S1000177.71019,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000177.71020,SP1000177.4.71020,SY1000177.2026.71020,iPad1(1000177),177,01.06.26 10:47,Prod,A1000177.6226,Tisch 8,101,S1000177.71020,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000177.71021,SP1000177.4.71021,SY1000177.2026.71021,iPad1(1000177),177,01.06.26 10:47,Prod,A1000177.6226,Tisch 8,101,S1000177.71021,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000177.71022,SP1000177.4.71022,SY1000177.2026.71022,iPad1(1000177),177,01.06.26 11:13,Prod,A1000177.6227,Tisch 5,101,S1000177.71022,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000177.71023,SP1000177.4.71023,SY1000177.2026.71023,iPad1(1000177),177,01.06.26 11:13,Prod,A1000177.6227,Tisch 5,101,S1000177.71023,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000177.71024,SP1000177.4.71024,SY1000177.2026.71024,iPad1(1000177),177,01.06.26 11:13,Prod,A1000177.6227,Tisch 5,101,S1000177.71024,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000177.71025,SP1000177.4.71025,SY1000177.2026.71025,iPad1(1000177),177,01.06.26 20:13,Prod,A1000177.6228,Tisch 2,103,S1000177.71025,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000177.71026,SP1000177.4.71026,SY1000177.2026.71026,iPad1(1000177),177,01.06.26 20:13,Prod,A1000177.6228,Tisch 2,103,S1000177.71026,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
