Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000232.38463,SP1000232.14.38463,SY1000232.2026.38463,iPad1(1000232),232,01.06.26 20:24,Prod,A1000232.6785,,119,S1000232.38463,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000232.38464,SP1000232.14.38464,SY1000232.2026.38464,iPad1(1000232),232,01.06.26 18:26,Prod,A1000232.6786,Tisch 19,108,S1000232.38464,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000232.38465,SP1000232.14.38465,SY1000232.2026.38465,iPad1(1000232),232,01.06.26 18:26,Prod,A1000232.6786,Tisch 19,108,S1000232.38465,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000232.38466,SP1000232.14.38466,SY1000232.2026.38466,iPad1(1000232),232,01.06.26 18:26,Prod,A1000232.6786,Tisch 19,108,S1000232.38466,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000232.38467,SP1000232.14.38467,SY1000232.2026.38467,iPad1(1000232),232,01.06.26 19:24,Prod,A1000232.6787,,119,S1000232.38467,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000232.38468,SP1000232.14.38468,SY1000232.2026.38468,iPad1(1000232),232,01.06.26 19:24,Prod,A1000232.6787,,119,S1000232.38468,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000232.38469,SP1000232.14.38469,SY1000232.2026.38469,iPad1(1000232),232,01.06.26 16:27,Prod,A1000232.6788,Tisch 19,119,S1000232.38469,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000232.38470,SP1000232.14.38470,SY1000232.2026.38470,iPad1(1000232),232,01.06.26 16:27,Prod,A1000232.6788,Tisch 19,119,S1000232.38470,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000232.38471,SP1000232.14.38471,SY1000232.2026.38471,iPad1(1000232),232,01.06.26 16:27,Prod,A1000232.6788,Tisch 19,119,S1000232.38471,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000232.38472,SP1000232.14.38472,SY1000232.2026.38472,iPad1(1000232),232,01.06.26 11:07,Prod,A1000232.6789,Tisch 16,108,S1000232.38472,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
