Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000263.52681,SP1000263.31.52681,SY1000263.2026.52681,iPad1(1000263),263,01.06.26 18:43,Prod,A1000263.6984,Tisch 8,119,S1000263.52681,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000263.52682,SP1000263.31.52682,SY1000263.2026.52682,iPad1(1000263),263,01.06.26 08:40,Prod,A1000263.6985,Tisch 19,115,S1000263.52682,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000263.52683,SP1000263.31.52683,SY1000263.2026.52683,iPad1(1000263),263,01.06.26 08:40,Prod,A1000263.6985,Tisch 19,115,S1000263.52683,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000263.52684,SP1000263.31.52684,SY1000263.2026.52684,iPad1(1000263),263,01.06.26 17:02,Prod,A1000263.6986,Tisch 7,107,S1000263.52684,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000263.52685,SP1000263.31.52685,SY1000263.2026.52685,iPad1(1000263),263,01.06.26 17:02,Prod,A1000263.6986,Tisch 7,107,S1000263.52685,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000263.52686,SP1000263.31.52686,SY1000263.2026.52686,iPad1(1000263),263,01.06.26 17:02,Prod,A1000263.6986,Tisch 7,107,S1000263.52686,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000263.52687,SP1000263.31.52687,SY1000263.2026.52687,iPad1(1000263),263,01.06.26 19:39,Prod,A1000263.6987,Tisch 14,119,S1000263.52687,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000263.52688,SP1000263.31.52688,SY1000263.2026.52688,iPad1(1000263),263,01.06.26 09:01,Prod,A1000263.6988,Tisch 3,119,S1000263.52688,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000263.52689,SP1000263.31.52689,SY1000263.2026.52689,iPad1(1000263),263,01.06.26 09:01,Prod,A1000263.6988,Tisch 3,119,S1000263.52689,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000263.52690,SP1000263.31.52690,SY1000263.2026.52690,iPad1(1000263),263,01.06.26 09:01,Prod,A1000263.6988,Tisch 3,119,S1000263.52690,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000263.52691,SP1000263.31.52691,SY1000263.2026.52691,iPad1(1000263),263,01.06.26 20:20,Prod,A1000263.6989,Tisch 18,103,S1000263.52691,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000263.52692,SP1000263.31.52692,SY1000263.2026.52692,iPad1(1000263),263,01.06.26 16:29,Prod,A1000263.6990,,103,S1000263.52692,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000263.52693,SP1000263.31.52693,SY1000263.2026.52693,iPad1(1000263),263,01.06.26 16:29,Prod,A1000263.6990,,103,S1000263.52693,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000263.52694,SP1000263.31.52694,SY1000263.2026.52694,iPad1(1000263),263,01.06.26 14:26,Prod,A1000263.6991,Tisch 21,116,S1000263.52694,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000263.52695,SP1000263.31.52695,SY1000263.2026.52695,iPad1(1000263),263,01.06.26 17:36,Prod,A1000263.6992,Tisch 5,109,S1000263.52695,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000263.52696,SP1000263.31.52696,SY1000263.2026.52696,iPad1(1000263),263,01.06.26 17:36,Prod,A1000263.6992,Tisch 5,109,S1000263.52696,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000263.52697,SP1000263.31.52697,SY1000263.2026.52697,iPad1(1000263),263,01.06.26 19:00,Prod,A1000263.6993,Tisch 2,107,S1000263.52697,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000263.52698,SP1000263.31.52698,SY1000263.2026.52698,iPad1(1000263),263,01.06.26 19:00,Prod,A1000263.6993,Tisch 2,107,S1000263.52698,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000263.52699,SP1000263.31.52699,SY1000263.2026.52699,iPad1(1000263),263,01.06.26 19:00,Prod,A1000263.6993,Tisch 2,107,S1000263.52699,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
