Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000289.62213,SP1000289.20.62213,SY1000289.2026.62213,iPad1(1000289),289,01.06.26 20:49,Prod,A1000289.6459,Tisch 7,113,S1000289.62213,VOID,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000289.62214,SP1000289.20.62214,SY1000289.2026.62214,iPad1(1000289),289,01.06.26 20:49,Prod,A1000289.6459,Tisch 7,113,S1000289.62214,VOID,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000289.62215,SP1000289.20.62215,SY1000289.2026.62215,iPad1(1000289),289,01.06.26 20:49,Prod,A1000289.6459,Tisch 7,113,S1000289.62215,VOID,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000289.62216,SP1000289.20.62216,SY1000289.2026.62216,iPad1(1000289),289,01.06.26 12:29,Prod,A1000289.6460,,103,S1000289.62216,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000289.62217,SP1000289.20.62217,SY1000289.2026.62217,iPad1(1000289),289,01.06.26 10:13,Prod,A1000289.6461,Tisch 18,105,S1000289.62217,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000289.62218,SP1000289.20.62218,SY1000289.2026.62218,iPad1(1000289),289,01.06.26 10:13,Prod,A1000289.6461,Tisch 18,105,S1000289.62218,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000289.62219,SP1000289.20.62219,SY1000289.2026.62219,iPad1(1000289),289,01.06.26 10:13,Prod,A1000289.6461,Tisch 18,105,S1000289.62219,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000289.62220,SP1000289.20.62220,SY1000289.2026.62220,iPad1(1000289),289,01.06.26 11:54,Prod,A1000289.6462,Tisch 24,103,S1000289.62220,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000289.62221,SP1000289.20.62221,SY1000289.2026.62221,iPad1(1000289),289,01.06.26 11:54,Prod,A1000289.6462,Tisch 24,103,S1000289.62221,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000289.62222,SP1000289.20.62222,SY1000289.2026.62222,iPad1(1000289),289,01.06.26 11:54,Prod,A1000289.6462,Tisch 24,103,S1000289.62222,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000289.62223,SP1000289.20.62223,SY1000289.2026.62223,iPad1(1000289),289,01.06.26 20:30,Prod,A1000289.6463,Tisch 10,105,S1000289.62223,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000289.62224,SP1000289.20.62224,SY1000289.2026.62224,iPad1(1000289),289,01.06.26 20:30,Prod,A1000289.6463,Tisch 10,105,S1000289.62224,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000289.62225,SP1000289.20.62225,SY1000289.2026.62225,iPad1(1000289),289,01.06.26 16:24,Prod,A1000289.6464,Tisch 9,107,S1000289.62225,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000289.62226,SP1000289.20.62226,SY1000289.2026.62226,iPad1(1000289),289,01.06.26 13:14,Prod,A1000289.6465,Tisch 13,105,S1000289.62226,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000289.62227,SP1000289.20.62227,SY1000289.2026.62227,iPad1(1000289),289,01.06.26 17:55,Prod,A1000289.6466,Tisch 7,113,S1000289.62227,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000289.62228,SP1000289.20.62228,SY1000289.2026.62228,iPad1(1000289),289,01.06.26 09:29,Prod,A1000289.6467,Tisch 8,105,S1000289.62228,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000289.62229,SP1000289.20.62229,SY1000289.2026.62229,iPad1(1000289),289,01.06.26 16:04,Prod,A1000289.6468,Tisch 24,103,S1000289.62229,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000289.62230,SP1000289.20.62230,SY1000289.2026.62230,iPad1(1000289),289,01.06.26 16:04,Prod,A1000289.6468,Tisch 24,103,S1000289.62230,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000289.62231,SP1000289.20.62231,SY1000289.2026.62231,iPad1(1000289),289,01.06.26 17:49,Prod,A1000289.6469,Tisch 11,105,S1000289.62231,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000289.62232,SP1000289.20.62232,SY1000289.2026.62232,iPad1(1000289),289,01.06.26 17:06,Prod,A1000289.6470,Tisch 18,117,S1000289.62232,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000289.62233,SP1000289.20.62233,SY1000289.2026.62233,iPad1(1000289),289,01.06.26 17:06,Prod,A1000289.6470,Tisch 18,117,S1000289.62233,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000289.62234,SP1000289.20.62234,SY1000289.2026.62234,iPad1(1000289),289,01.06.26 12:37,Prod,A1000289.6471,Tisch 15,107,S1000289.62234,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
