Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000304.76279,SP1000304.38.76279,SY1000304.2026.76279,iPad1(1000304),304,01.06.26 12:09,Prod,A1000304.6970,Tisch 18,112,S1000304.76279,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000304.76280,SP1000304.38.76280,SY1000304.2026.76280,iPad1(1000304),304,01.06.26 12:09,Prod,A1000304.6970,Tisch 18,112,S1000304.76280,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000304.76281,SP1000304.38.76281,SY1000304.2026.76281,iPad1(1000304),304,01.06.26 12:09,Prod,A1000304.6970,Tisch 18,112,S1000304.76281,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000304.76282,SP1000304.38.76282,SY1000304.2026.76282,iPad1(1000304),304,01.06.26 19:56,Prod,A1000304.6971,Tisch 8,106,S1000304.76282,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000304.76283,SP1000304.38.76283,SY1000304.2026.76283,iPad1(1000304),304,01.06.26 19:56,Prod,A1000304.6971,Tisch 8,106,S1000304.76283,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000304.76284,SP1000304.38.76284,SY1000304.2026.76284,iPad1(1000304),304,01.06.26 19:56,Prod,A1000304.6971,Tisch 8,106,S1000304.76284,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000304.76285,SP1000304.38.76285,SY1000304.2026.76285,iPad1(1000304),304,01.06.26 11:35,Prod,A1000304.6972,Tisch 22,115,S1000304.76285,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000304.76286,SP1000304.38.76286,SY1000304.2026.76286,iPad1(1000304),304,01.06.26 11:35,Prod,A1000304.6972,Tisch 22,115,S1000304.76286,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000304.76287,SP1000304.38.76287,SY1000304.2026.76287,iPad1(1000304),304,01.06.26 16:55,Prod,A1000304.6973,Tisch 9,115,S1000304.76287,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000304.76288,SP1000304.38.76288,SY1000304.2026.76288,iPad1(1000304),304,01.06.26 16:55,Prod,A1000304.6973,Tisch 9,115,S1000304.76288,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000304.76289,SP1000304.38.76289,SY1000304.2026.76289,iPad1(1000304),304,01.06.26 17:08,Prod,A1000304.6974,Tisch 19,101,S1000304.76289,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000304.76290,SP1000304.38.76290,SY1000304.2026.76290,iPad1(1000304),304,01.06.26 17:08,Prod,A1000304.6974,Tisch 19,101,S1000304.76290,VOID,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
