Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000083.32474,SP1000083.2.32474,SY1000083.2026.32474,iPad1(1000083),83,01.06.26 20:11,Prod,A1000083.6776,Tisch 22,108,S1000083.32474,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000083.32475,SP1000083.2.32475,SY1000083.2026.32475,iPad1(1000083),83,01.06.26 20:11,Prod,A1000083.6776,Tisch 22,108,S1000083.32475,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000083.32476,SP1000083.2.32476,SY1000083.2026.32476,iPad1(1000083),83,01.06.26 18:10,Prod,A1000083.6777,,118,S1000083.32476,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000083.32477,SP1000083.2.32477,SY1000083.2026.32477,iPad1(1000083),83,01.06.26 18:10,Prod,A1000083.6777,,118,S1000083.32477,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000083.32478,SP1000083.2.32478,SY1000083.2026.32478,iPad1(1000083),83,01.06.26 18:10,Prod,A1000083.6777,,118,S1000083.32478,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000083.32479,SP1000083.2.32479,SY1000083.2026.32479,iPad1(1000083),83,01.06.26 09:00,Prod,A1000083.6778,Tisch 16,115,S1000083.32479,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000083.32480,SP1000083.2.32480,SY1000083.2026.32480,iPad1(1000083),83,01.06.26 17:00,Prod,A1000083.6779,Tisch 9,120,S1000083.32480,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000083.32481,SP1000083.2.32481,SY1000083.2026.32481,iPad1(1000083),83,01.06.26 17:00,Prod,A1000083.6779,Tisch 9,120,S1000083.32481,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000083.32482,SP1000083.2.32482,SY1000083.2026.32482,iPad1(1000083),83,01.06.26 17:00,Prod,A1000083.6779,Tisch 9,120,S1000083.32482,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000083.32483,SP1000083.2.32483,SY1000083.2026.32483,iPad1(1000083),83,01.06.26 19:41,Prod,A1000083.6780,,115,S1000083.32483,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000083.32484,SP1000083.2.32484,SY1000083.2026.32484,iPad1(1000083),83,01.06.26 19:41,Prod,A1000083.6780,,115,S1000083.32484,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000083.32485,SP1000083.2.32485,SY1000083.2026.32485,iPad1(1000083),83,01.06.26 11:07,Prod,A1000083.6781,Tisch 13,108,S1000083.32485,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000083.32486,SP1000083.2.32486,SY1000083.2026.32486,iPad1(1000083),83,01.06.26 11:07,Prod,A1000083.6781,Tisch 13,108,S1000083.32486,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000083.32487,SP1000083.2.32487,SY1000083.2026.32487,iPad1(1000083),83,01.06.26 17:40,Prod,A1000083.6782,Tisch 12,114,S1000083.32487,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000083.32488,SP1000083.2.32488,SY1000083.2026.32488,iPad1(1000083),83,01.06.26 17:15,Prod,A1000083.6783,Tisch 16,120,S1000083.32488,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000083.32489,SP1000083.2.32489,SY1000083.2026.32489,iPad1(1000083),83,01.06.26 17:15,Prod,A1000083.6783,Tisch 16,120,S1000083.32489,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000083.32490,SP1000083.2.32490,SY1000083.2026.32490,iPad1(1000083),83,01.06.26 19:16,Prod,A1000083.6784,,108,S1000083.32490,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000083.32491,SP1000083.2.32491,SY1000083.2026.32491,iPad1(1000083),83,01.06.26 15:05,Prod,A1000083.6785,Tisch 13,115,S1000083.32491,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000083.32492,SP1000083.2.32492,SY1000083.2026.32492,iPad1(1000083),83,01.06.26 15:05,Prod,A1000083.6785,Tisch 13,115,S1000083.32492,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000083.32493,SP1000083.2.32493,SY1000083.2026.32493,iPad1(1000083),83,01.06.26 12:33,Prod,A1000083.6786,Tisch 10,108,S1000083.32493,VOID,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000083.32494,SP1000083.2.32494,SY1000083.2026.32494,iPad1(1000083),83,01.06.26 12:33,Prod,A1000083.6786,Tisch 10,108,S1000083.32494,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000083.32495,SP1000083.2.32495,SY1000083.2026.32495,iPad1(1000083),83,01.06.26 12:33,Prod,A1000083.6786,Tisch 10,108,S1000083.32495,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000083.32496,SP1000083.2.32496,SY1000083.2026.32496,iPad1(1000083),83,01.06.26 18:34,Prod,A1000083.6787,,115,S1000083.32496,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000083.32497,SP1000083.2.32497,SY1000083.2026.32497,iPad1(1000083),83,01.06.26 14:47,Prod,A1000083.6788,Tisch 11,114,S1000083.32497,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000083.32498,SP1000083.2.32498,SY1000083.2026.32498,iPad1(1000083),83,01.06.26 14:47,Prod,A1000083.6788,Tisch 11,114,S1000083.32498,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000083.32499,SP1000083.2.32499,SY1000083.2026.32499,iPad1(1000083),83,01.06.26 14:47,Prod,A1000083.6788,Tisch 11,114,S1000083.32499,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000083.32500,SP1000083.2.32500,SY1000083.2026.32500,iPad1(1000083),83,01.06.26 12:41,Prod,A1000083.6789,Tisch 3,108,S1000083.32500,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000083.32501,SP1000083.2.32501,SY1000083.2026.32501,iPad1(1000083),83,01.06.26 12:41,Prod,A1000083.6789,Tisch 3,108,S1000083.32501,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000083.32502,SP1000083.2.32502,SY1000083.2026.32502,iPad1(1000083),83,01.06.26 12:41,Prod,A1000083.6789,Tisch 3,108,S1000083.32502,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000083.32503,SP1000083.2.32503,SY1000083.2026.32503,iPad1(1000083),83,01.06.26 16:54,Prod,A1000083.6790,Tisch 11,119,S1000083.32503,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000083.32504,SP1000083.2.32504,SY1000083.2026.32504,iPad1(1000083),83,01.06.26 16:54,Prod,A1000083.6790,Tisch 11,119,S1000083.32504,VOID,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
