Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000179.74156,SP1000179.32.74156,SY1000179.2026.74156,iPad1(1000179),179,01.06.26 09:39,Prod,A1000179.6862,Tisch 3,115,S1000179.74156,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000179.74157,SP1000179.32.74157,SY1000179.2026.74157,iPad1(1000179),179,01.06.26 09:39,Prod,A1000179.6862,Tisch 3,115,S1000179.74157,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000179.74158,SP1000179.32.74158,SY1000179.2026.74158,iPad1(1000179),179,01.06.26 12:26,Prod,A1000179.6863,Tisch 24,101,S1000179.74158,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000179.74159,SP1000179.32.74159,SY1000179.2026.74159,iPad1(1000179),179,01.06.26 12:26,Prod,A1000179.6863,Tisch 24,101,S1000179.74159,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000179.74160,SP1000179.32.74160,SY1000179.2026.74160,iPad1(1000179),179,01.06.26 12:26,Prod,A1000179.6863,Tisch 24,101,S1000179.74160,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000179.74161,SP1000179.32.74161,SY1000179.2026.74161,iPad1(1000179),179,01.06.26 19:40,Prod,A1000179.6864,Tisch 13,110,S1000179.74161,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000179.74162,SP1000179.32.74162,SY1000179.2026.74162,iPad1(1000179),179,01.06.26 16:48,Prod,A1000179.6865,Tisch 19,106,S1000179.74162,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000179.74163,SP1000179.32.74163,SY1000179.2026.74163,iPad1(1000179),179,01.06.26 16:48,Prod,A1000179.6865,Tisch 19,106,S1000179.74163,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000179.74164,SP1000179.32.74164,SY1000179.2026.74164,iPad1(1000179),179,01.06.26 12:24,Prod,A1000179.6866,Tisch 1,101,S1000179.74164,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000179.74165,SP1000179.32.74165,SY1000179.2026.74165,iPad1(1000179),179,01.06.26 12:24,Prod,A1000179.6866,Tisch 1,101,S1000179.74165,VOID,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
