Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000150.35896,SP1000150.38.35896,SY1000150.2026.35896,iPad1(1000150),150,01.06.26 11:06,Prod,A1000150.6731,Tisch 17,111,S1000150.35896,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000150.35897,SP1000150.38.35897,SY1000150.2026.35897,iPad1(1000150),150,01.06.26 11:06,Prod,A1000150.6731,Tisch 17,111,S1000150.35897,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000150.35898,SP1000150.38.35898,SY1000150.2026.35898,iPad1(1000150),150,01.06.26 11:28,Prod,A1000150.6732,Tisch 20,113,S1000150.35898,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000150.35899,SP1000150.38.35899,SY1000150.2026.35899,iPad1(1000150),150,01.06.26 09:22,Prod,A1000150.6733,Tisch 3,111,S1000150.35899,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000150.35900,SP1000150.38.35900,SY1000150.2026.35900,iPad1(1000150),150,01.06.26 09:22,Prod,A1000150.6733,Tisch 3,111,S1000150.35900,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000150.35901,SP1000150.38.35901,SY1000150.2026.35901,iPad1(1000150),150,01.06.26 13:07,Prod,A1000150.6734,Tisch 2,104,S1000150.35901,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000150.35902,SP1000150.38.35902,SY1000150.2026.35902,iPad1(1000150),150,01.06.26 13:07,Prod,A1000150.6734,Tisch 2,104,S1000150.35902,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000150.35903,SP1000150.38.35903,SY1000150.2026.35903,iPad1(1000150),150,01.06.26 19:09,Prod,A1000150.6735,Tisch 14,107,S1000150.35903,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000150.35904,SP1000150.38.35904,SY1000150.2026.35904,iPad1(1000150),150,01.06.26 19:09,Prod,A1000150.6735,Tisch 14,107,S1000150.35904,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000150.35905,SP1000150.38.35905,SY1000150.2026.35905,iPad1(1000150),150,01.06.26 19:17,Prod,A1000150.6736,Tisch 6,111,S1000150.35905,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000150.35906,SP1000150.38.35906,SY1000150.2026.35906,iPad1(1000150),150,01.06.26 19:17,Prod,A1000150.6736,Tisch 6,111,S1000150.35906,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000150.35907,SP1000150.38.35907,SY1000150.2026.35907,iPad1(1000150),150,01.06.26 19:17,Prod,A1000150.6736,Tisch 6,111,S1000150.35907,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000150.35908,SP1000150.38.35908,SY1000150.2026.35908,iPad1(1000150),150,01.06.26 19:11,Prod,A1000150.6737,Tisch 9,102,S1000150.35908,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000150.35909,SP1000150.38.35909,SY1000150.2026.35909,iPad1(1000150),150,01.06.26 19:11,Prod,A1000150.6737,Tisch 9,102,S1000150.35909,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000150.35910,SP1000150.38.35910,SY1000150.2026.35910,iPad1(1000150),150,01.06.26 18:16,Prod,A1000150.6738,,113,S1000150.35910,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000150.35911,SP1000150.38.35911,SY1000150.2026.35911,iPad1(1000150),150,01.06.26 15:11,Prod,A1000150.6739,Tisch 14,113,S1000150.35911,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000150.35912,SP1000150.38.35912,SY1000150.2026.35912,iPad1(1000150),150,01.06.26 15:11,Prod,A1000150.6739,Tisch 14,113,S1000150.35912,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000150.35913,SP1000150.38.35913,SY1000150.2026.35913,iPad1(1000150),150,01.06.26 15:05,Prod,A1000150.6740,Tisch 12,107,S1000150.35913,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000150.35914,SP1000150.38.35914,SY1000150.2026.35914,iPad1(1000150),150,01.06.26 16:07,Prod,A1000150.6741,Tisch 4,113,S1000150.35914,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000150.35915,SP1000150.38.35915,SY1000150.2026.35915,iPad1(1000150),150,01.06.26 16:07,Prod,A1000150.6741,Tisch 4,113,S1000150.35915,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000150.35916,SP1000150.38.35916,SY1000150.2026.35916,iPad1(1000150),150,01.06.26 18:48,Prod,A1000150.6742,Tisch 14,103,S1000150.35916,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000150.35917,SP1000150.38.35917,SY1000150.2026.35917,iPad1(1000150),150,01.06.26 18:48,Prod,A1000150.6742,Tisch 14,103,S1000150.35917,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000150.35918,SP1000150.38.35918,SY1000150.2026.35918,iPad1(1000150),150,01.06.26 18:48,Prod,A1000150.6742,Tisch 14,103,S1000150.35918,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000150.35919,SP1000150.38.35919,SY1000150.2026.35919,iPad1(1000150),150,01.06.26 18:17,Prod,A1000150.6743,Tisch 13,107,S1000150.35919,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000150.35920,SP1000150.38.35920,SY1000150.2026.35920,iPad1(1000150),150,01.06.26 13:20,Prod,A1000150.6744,Tisch 17,113,S1000150.35920,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000150.35921,SP1000150.38.35921,SY1000150.2026.35921,iPad1(1000150),150,01.06.26 13:20,Prod,A1000150.6744,Tisch 17,113,S1000150.35921,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000150.35922,SP1000150.38.35922,SY1000150.2026.35922,iPad1(1000150),150,01.06.26 13:20,Prod,A1000150.6744,Tisch 17,113,S1000150.35922,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000150.35923,SP1000150.38.35923,SY1000150.2026.35923,iPad1(1000150),150,01.06.26 17:11,Prod,A1000150.6745,Tisch 19,111,S1000150.35923,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000150.35924,SP1000150.38.35924,SY1000150.2026.35924,iPad1(1000150),150,01.06.26 17:11,Prod,A1000150.6745,Tisch 19,111,S1000150.35924,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000150.35925,SP1000150.38.35925,SY1000150.2026.35925,iPad1(1000150),150,01.06.26 18:49,Prod,A1000150.6746,Tisch 1,102,S1000150.35925,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000150.35926,SP1000150.38.35926,SY1000150.2026.35926,iPad1(1000150),150,01.06.26 18:49,Prod,A1000150.6746,Tisch 1,102,S1000150.35926,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000150.35927,SP1000150.38.35927,SY1000150.2026.35927,iPad1(1000150),150,01.06.26 19:02,Prod,A1000150.6747,Tisch 5,113,S1000150.35927,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000150.35928,SP1000150.38.35928,SY1000150.2026.35928,iPad1(1000150),150,01.06.26 19:02,Prod,A1000150.6747,Tisch 5,113,S1000150.35928,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000150.35929,SP1000150.38.35929,SY1000150.2026.35929,iPad1(1000150),150,01.06.26 19:13,Prod,A1000150.6748,Tisch 9,103,S1000150.35929,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000150.35930,SP1000150.38.35930,SY1000150.2026.35930,iPad1(1000150),150,01.06.26 19:13,Prod,A1000150.6748,Tisch 9,103,S1000150.35930,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000150.35931,SP1000150.38.35931,SY1000150.2026.35931,iPad1(1000150),150,01.06.26 19:13,Prod,A1000150.6748,Tisch 9,103,S1000150.35931,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000150.35932,SP1000150.38.35932,SY1000150.2026.35932,iPad1(1000150),150,01.06.26 18:57,Prod,A1000150.6749,Tisch 14,103,S1000150.35932,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000150.35933,SP1000150.38.35933,SY1000150.2026.35933,iPad1(1000150),150,01.06.26 20:37,Prod,A1000150.6750,Tisch 11,107,S1000150.35933,VOID,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000150.35934,SP1000150.38.35934,SY1000150.2026.35934,iPad1(1000150),150,01.06.26 20:37,Prod,A1000150.6750,Tisch 11,107,S1000150.35934,VOID,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000150.35935,SP1000150.38.35935,SY1000150.2026.35935,iPad1(1000150),150,01.06.26 19:23,Prod,A1000150.6751,Tisch 8,107,S1000150.35935,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000150.35936,SP1000150.38.35936,SY1000150.2026.35936,iPad1(1000150),150,01.06.26 11:11,Prod,A1000150.6752,Tisch 1,104,S1000150.35936,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000150.35937,SP1000150.38.35937,SY1000150.2026.35937,iPad1(1000150),150,01.06.26 11:11,Prod,A1000150.6752,Tisch 1,104,S1000150.35937,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000150.35938,SP1000150.38.35938,SY1000150.2026.35938,iPad1(1000150),150,01.06.26 11:11,Prod,A1000150.6752,Tisch 1,104,S1000150.35938,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000150.35939,SP1000150.38.35939,SY1000150.2026.35939,iPad1(1000150),150,01.06.26 13:35,Prod,A1000150.6753,Tisch 2,117,S1000150.35939,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000150.35940,SP1000150.38.35940,SY1000150.2026.35940,iPad1(1000150),150,01.06.26 13:35,Prod,A1000150.6753,Tisch 2,117,S1000150.35940,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000150.35941,SP1000150.38.35941,SY1000150.2026.35941,iPad1(1000150),150,01.06.26 13:35,Prod,A1000150.6753,Tisch 2,117,S1000150.35941,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000150.35942,SP1000150.38.35942,SY1000150.2026.35942,iPad1(1000150),150,01.06.26 13:07,Prod,A1000150.6754,Tisch 22,117,S1000150.35942,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000150.35943,SP1000150.38.35943,SY1000150.2026.35943,iPad1(1000150),150,01.06.26 13:07,Prod,A1000150.6754,Tisch 22,117,S1000150.35943,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000150.35944,SP1000150.38.35944,SY1000150.2026.35944,iPad1(1000150),150,01.06.26 19:36,Prod,A1000150.6755,Tisch 10,117,S1000150.35944,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000150.35945,SP1000150.38.35945,SY1000150.2026.35945,iPad1(1000150),150,01.06.26 19:36,Prod,A1000150.6755,Tisch 10,117,S1000150.35945,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000150.35946,SP1000150.38.35946,SY1000150.2026.35946,iPad1(1000150),150,01.06.26 19:36,Prod,A1000150.6755,Tisch 10,117,S1000150.35946,VOID,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000150.35947,SP1000150.38.35947,SY1000150.2026.35947,iPad1(1000150),150,01.06.26 17:43,Prod,A1000150.6756,Tisch 2,107,S1000150.35947,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000150.35948,SP1000150.38.35948,SY1000150.2026.35948,iPad1(1000150),150,01.06.26 17:43,Prod,A1000150.6756,Tisch 2,107,S1000150.35948,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000150.35949,SP1000150.38.35949,SY1000150.2026.35949,iPad1(1000150),150,01.06.26 16:41,Prod,A1000150.6757,Tisch 7,107,S1000150.35949,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
