Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000339.74968,SP1000339.30.74968,SY1000339.2026.74968,iPad1(1000339),339,01.06.26 08:18,Prod,A1000339.6408,Tisch 23,102,S1000339.74968,VOID,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000339.74969,SP1000339.30.74969,SY1000339.2026.74969,iPad1(1000339),339,01.06.26 11:56,Prod,A1000339.6409,Tisch 21,102,S1000339.74969,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000339.74970,SP1000339.30.74970,SY1000339.2026.74970,iPad1(1000339),339,01.06.26 11:56,Prod,A1000339.6409,Tisch 21,102,S1000339.74970,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000339.74971,SP1000339.30.74971,SY1000339.2026.74971,iPad1(1000339),339,01.06.26 11:56,Prod,A1000339.6409,Tisch 21,102,S1000339.74971,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000339.74972,SP1000339.30.74972,SY1000339.2026.74972,iPad1(1000339),339,01.06.26 16:08,Prod,A1000339.6410,Tisch 3,110,S1000339.74972,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000339.74973,SP1000339.30.74973,SY1000339.2026.74973,iPad1(1000339),339,01.06.26 16:08,Prod,A1000339.6410,Tisch 3,110,S1000339.74973,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000339.74974,SP1000339.30.74974,SY1000339.2026.74974,iPad1(1000339),339,01.06.26 12:38,Prod,A1000339.6411,Tisch 8,116,S1000339.74974,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000339.74975,SP1000339.30.74975,SY1000339.2026.74975,iPad1(1000339),339,01.06.26 12:38,Prod,A1000339.6411,Tisch 8,116,S1000339.74975,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000339.74976,SP1000339.30.74976,SY1000339.2026.74976,iPad1(1000339),339,01.06.26 10:23,Prod,A1000339.6412,Tisch 11,110,S1000339.74976,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000339.74977,SP1000339.30.74977,SY1000339.2026.74977,iPad1(1000339),339,01.06.26 10:23,Prod,A1000339.6412,Tisch 11,110,S1000339.74977,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
