Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000006.46616,SP1000006.5.46616,SY1000006.2026.46616,iPad1(1000006),6,01.06.26 16:43,Prod,A1000006.6096,Tisch 9,115,S1000006.46616,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000006.46617,SP1000006.5.46617,SY1000006.2026.46617,iPad1(1000006),6,01.06.26 16:43,Prod,A1000006.6096,Tisch 9,115,S1000006.46617,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000006.46618,SP1000006.5.46618,SY1000006.2026.46618,iPad1(1000006),6,01.06.26 12:51,Prod,A1000006.6097,Tisch 7,105,S1000006.46618,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000006.46619,SP1000006.5.46619,SY1000006.2026.46619,iPad1(1000006),6,01.06.26 12:51,Prod,A1000006.6097,Tisch 7,105,S1000006.46619,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000006.46620,SP1000006.5.46620,SY1000006.2026.46620,iPad1(1000006),6,01.06.26 12:51,Prod,A1000006.6097,Tisch 7,105,S1000006.46620,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000006.46621,SP1000006.5.46621,SY1000006.2026.46621,iPad1(1000006),6,01.06.26 11:30,Prod,A1000006.6098,,114,S1000006.46621,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000006.46622,SP1000006.5.46622,SY1000006.2026.46622,iPad1(1000006),6,01.06.26 11:30,Prod,A1000006.6098,,114,S1000006.46622,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000006.46623,SP1000006.5.46623,SY1000006.2026.46623,iPad1(1000006),6,01.06.26 11:30,Prod,A1000006.6098,,114,S1000006.46623,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000006.46624,SP1000006.5.46624,SY1000006.2026.46624,iPad1(1000006),6,01.06.26 10:01,Prod,A1000006.6099,Tisch 21,112,S1000006.46624,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000006.46625,SP1000006.5.46625,SY1000006.2026.46625,iPad1(1000006),6,01.06.26 16:39,Prod,A1000006.6100,Tisch 23,115,S1000006.46625,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000006.46626,SP1000006.5.46626,SY1000006.2026.46626,iPad1(1000006),6,01.06.26 18:30,Prod,A1000006.6101,Tisch 4,115,S1000006.46626,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000006.46627,SP1000006.5.46627,SY1000006.2026.46627,iPad1(1000006),6,01.06.26 18:30,Prod,A1000006.6101,Tisch 4,115,S1000006.46627,VOID,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000006.46628,SP1000006.5.46628,SY1000006.2026.46628,iPad1(1000006),6,01.06.26 11:00,Prod,A1000006.6102,Tisch 10,115,S1000006.46628,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000006.46629,SP1000006.5.46629,SY1000006.2026.46629,iPad1(1000006),6,01.06.26 11:00,Prod,A1000006.6102,Tisch 10,115,S1000006.46629,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000006.46630,SP1000006.5.46630,SY1000006.2026.46630,iPad1(1000006),6,01.06.26 12:14,Prod,A1000006.6103,Tisch 19,115,S1000006.46630,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000006.46631,SP1000006.5.46631,SY1000006.2026.46631,iPad1(1000006),6,01.06.26 12:14,Prod,A1000006.6103,Tisch 19,115,S1000006.46631,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000006.46632,SP1000006.5.46632,SY1000006.2026.46632,iPad1(1000006),6,01.06.26 12:14,Prod,A1000006.6103,Tisch 19,115,S1000006.46632,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000006.46633,SP1000006.5.46633,SY1000006.2026.46633,iPad1(1000006),6,01.06.26 19:36,Prod,A1000006.6104,Tisch 3,105,S1000006.46633,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000006.46634,SP1000006.5.46634,SY1000006.2026.46634,iPad1(1000006),6,01.06.26 19:36,Prod,A1000006.6104,Tisch 3,105,S1000006.46634,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000006.46635,SP1000006.5.46635,SY1000006.2026.46635,iPad1(1000006),6,01.06.26 16:54,Prod,A1000006.6105,Tisch 8,105,S1000006.46635,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
