Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000191.17603,SP1000191.19.17603,SY1000191.2026.17603,iPad1(1000191),191,01.06.26 13:37,Prod,A1000191.6504,Tisch 7,113,S1000191.17603,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000191.17604,SP1000191.19.17604,SY1000191.2026.17604,iPad1(1000191),191,01.06.26 13:37,Prod,A1000191.6504,Tisch 7,113,S1000191.17604,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000191.17605,SP1000191.19.17605,SY1000191.2026.17605,iPad1(1000191),191,01.06.26 16:20,Prod,A1000191.6505,Tisch 2,114,S1000191.17605,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000191.17606,SP1000191.19.17606,SY1000191.2026.17606,iPad1(1000191),191,01.06.26 16:20,Prod,A1000191.6505,Tisch 2,114,S1000191.17606,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000191.17607,SP1000191.19.17607,SY1000191.2026.17607,iPad1(1000191),191,01.06.26 13:36,Prod,A1000191.6506,Tisch 20,114,S1000191.17607,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000191.17608,SP1000191.19.17608,SY1000191.2026.17608,iPad1(1000191),191,01.06.26 13:36,Prod,A1000191.6506,Tisch 20,114,S1000191.17608,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000191.17609,SP1000191.19.17609,SY1000191.2026.17609,iPad1(1000191),191,01.06.26 13:36,Prod,A1000191.6506,Tisch 20,114,S1000191.17609,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000191.17610,SP1000191.19.17610,SY1000191.2026.17610,iPad1(1000191),191,01.06.26 08:11,Prod,A1000191.6507,Tisch 24,117,S1000191.17610,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000191.17611,SP1000191.19.17611,SY1000191.2026.17611,iPad1(1000191),191,01.06.26 09:22,Prod,A1000191.6508,Tisch 12,109,S1000191.17611,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000191.17612,SP1000191.19.17612,SY1000191.2026.17612,iPad1(1000191),191,01.06.26 09:03,Prod,A1000191.6509,Tisch 12,117,S1000191.17612,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000191.17613,SP1000191.19.17613,SY1000191.2026.17613,iPad1(1000191),191,01.06.26 09:03,Prod,A1000191.6509,Tisch 12,117,S1000191.17613,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000191.17614,SP1000191.19.17614,SY1000191.2026.17614,iPad1(1000191),191,01.06.26 09:03,Prod,A1000191.6509,Tisch 12,117,S1000191.17614,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000191.17615,SP1000191.19.17615,SY1000191.2026.17615,iPad1(1000191),191,01.06.26 17:43,Prod,A1000191.6510,Tisch 2,118,S1000191.17615,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000191.17616,SP1000191.19.17616,SY1000191.2026.17616,iPad1(1000191),191,01.06.26 17:43,Prod,A1000191.6510,Tisch 2,118,S1000191.17616,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000191.17617,SP1000191.19.17617,SY1000191.2026.17617,iPad1(1000191),191,01.06.26 12:02,Prod,A1000191.6511,Tisch 20,113,S1000191.17617,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000191.17618,SP1000191.19.17618,SY1000191.2026.17618,iPad1(1000191),191,01.06.26 16:22,Prod,A1000191.6512,,116,S1000191.17618,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000191.17619,SP1000191.19.17619,SY1000191.2026.17619,iPad1(1000191),191,01.06.26 16:22,Prod,A1000191.6512,,116,S1000191.17619,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000191.17620,SP1000191.19.17620,SY1000191.2026.17620,iPad1(1000191),191,01.06.26 16:22,Prod,A1000191.6512,,116,S1000191.17620,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000191.17621,SP1000191.19.17621,SY1000191.2026.17621,iPad1(1000191),191,01.06.26 18:41,Prod,A1000191.6513,Tisch 23,117,S1000191.17621,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000191.17622,SP1000191.19.17622,SY1000191.2026.17622,iPad1(1000191),191,01.06.26 18:41,Prod,A1000191.6513,Tisch 23,117,S1000191.17622,VOID,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000191.17623,SP1000191.19.17623,SY1000191.2026.17623,iPad1(1000191),191,01.06.26 16:05,Prod,A1000191.6514,Tisch 1,113,S1000191.17623,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000191.17624,SP1000191.19.17624,SY1000191.2026.17624,iPad1(1000191),191,01.06.26 16:05,Prod,A1000191.6514,Tisch 1,113,S1000191.17624,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000191.17625,SP1000191.19.17625,SY1000191.2026.17625,iPad1(1000191),191,01.06.26 16:05,Prod,A1000191.6514,Tisch 1,113,S1000191.17625,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000191.17626,SP1000191.19.17626,SY1000191.2026.17626,iPad1(1000191),191,01.06.26 11:05,Prod,A1000191.6515,Tisch 16,107,S1000191.17626,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000191.17627,SP1000191.19.17627,SY1000191.2026.17627,iPad1(1000191),191,01.06.26 11:05,Prod,A1000191.6515,Tisch 16,107,S1000191.17627,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000191.17628,SP1000191.19.17628,SY1000191.2026.17628,iPad1(1000191),191,01.06.26 11:05,Prod,A1000191.6515,Tisch 16,107,S1000191.17628,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000191.17629,SP1000191.19.17629,SY1000191.2026.17629,iPad1(1000191),191,01.06.26 13:38,Prod,A1000191.6516,,114,S1000191.17629,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000191.17630,SP1000191.19.17630,SY1000191.2026.17630,iPad1(1000191),191,01.06.26 15:39,Prod,A1000191.6517,Tisch 21,107,S1000191.17630,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000191.17631,SP1000191.19.17631,SY1000191.2026.17631,iPad1(1000191),191,01.06.26 15:39,Prod,A1000191.6517,Tisch 21,107,S1000191.17631,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000191.17632,SP1000191.19.17632,SY1000191.2026.17632,iPad1(1000191),191,01.06.26 13:56,Prod,A1000191.6518,Tisch 11,114,S1000191.17632,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000191.17633,SP1000191.19.17633,SY1000191.2026.17633,iPad1(1000191),191,01.06.26 12:44,Prod,A1000191.6519,Tisch 14,109,S1000191.17633,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000191.17634,SP1000191.19.17634,SY1000191.2026.17634,iPad1(1000191),191,01.06.26 12:44,Prod,A1000191.6519,Tisch 14,109,S1000191.17634,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000191.17635,SP1000191.19.17635,SY1000191.2026.17635,iPad1(1000191),191,01.06.26 12:44,Prod,A1000191.6519,Tisch 14,109,S1000191.17635,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000191.17636,SP1000191.19.17636,SY1000191.2026.17636,iPad1(1000191),191,01.06.26 18:45,Prod,A1000191.6520,Tisch 21,116,S1000191.17636,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
