Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000104.30263,SP1000104.22.30263,SY1000104.2026.30263,iPad1(1000104),104,01.06.26 19:25,Prod,A1000104.6506,Tisch 4,113,S1000104.30263,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000104.30264,SP1000104.22.30264,SY1000104.2026.30264,iPad1(1000104),104,01.06.26 19:25,Prod,A1000104.6506,Tisch 4,113,S1000104.30264,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000104.30265,SP1000104.22.30265,SY1000104.2026.30265,iPad1(1000104),104,01.06.26 19:25,Prod,A1000104.6506,Tisch 4,113,S1000104.30265,VOID,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000104.30266,SP1000104.22.30266,SY1000104.2026.30266,iPad1(1000104),104,01.06.26 20:47,Prod,A1000104.6507,Tisch 15,102,S1000104.30266,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000104.30267,SP1000104.22.30267,SY1000104.2026.30267,iPad1(1000104),104,01.06.26 11:58,Prod,A1000104.6508,Tisch 8,113,S1000104.30267,VOID,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000104.30268,SP1000104.22.30268,SY1000104.2026.30268,iPad1(1000104),104,01.06.26 11:58,Prod,A1000104.6508,Tisch 8,113,S1000104.30268,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000104.30269,SP1000104.22.30269,SY1000104.2026.30269,iPad1(1000104),104,01.06.26 12:54,Prod,A1000104.6509,Tisch 18,102,S1000104.30269,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000104.30270,SP1000104.22.30270,SY1000104.2026.30270,iPad1(1000104),104,01.06.26 12:54,Prod,A1000104.6509,Tisch 18,102,S1000104.30270,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000104.30271,SP1000104.22.30271,SY1000104.2026.30271,iPad1(1000104),104,01.06.26 13:23,Prod,A1000104.6510,Tisch 12,119,S1000104.30271,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000104.30272,SP1000104.22.30272,SY1000104.2026.30272,iPad1(1000104),104,01.06.26 13:23,Prod,A1000104.6510,Tisch 12,119,S1000104.30272,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000104.30273,SP1000104.22.30273,SY1000104.2026.30273,iPad1(1000104),104,01.06.26 15:26,Prod,A1000104.6511,Tisch 7,104,S1000104.30273,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000104.30274,SP1000104.22.30274,SY1000104.2026.30274,iPad1(1000104),104,01.06.26 15:26,Prod,A1000104.6511,Tisch 7,104,S1000104.30274,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000104.30275,SP1000104.22.30275,SY1000104.2026.30275,iPad1(1000104),104,01.06.26 15:26,Prod,A1000104.6511,Tisch 7,104,S1000104.30275,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000104.30276,SP1000104.22.30276,SY1000104.2026.30276,iPad1(1000104),104,01.06.26 13:12,Prod,A1000104.6512,Tisch 15,114,S1000104.30276,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000104.30277,SP1000104.22.30277,SY1000104.2026.30277,iPad1(1000104),104,01.06.26 13:12,Prod,A1000104.6512,Tisch 15,114,S1000104.30277,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000104.30278,SP1000104.22.30278,SY1000104.2026.30278,iPad1(1000104),104,01.06.26 11:21,Prod,A1000104.6513,Tisch 8,104,S1000104.30278,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000104.30279,SP1000104.22.30279,SY1000104.2026.30279,iPad1(1000104),104,01.06.26 11:21,Prod,A1000104.6513,Tisch 8,104,S1000104.30279,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000104.30280,SP1000104.22.30280,SY1000104.2026.30280,iPad1(1000104),104,01.06.26 13:42,Prod,A1000104.6514,Tisch 21,119,S1000104.30280,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000104.30281,SP1000104.22.30281,SY1000104.2026.30281,iPad1(1000104),104,01.06.26 19:43,Prod,A1000104.6515,Tisch 16,102,S1000104.30281,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000104.30282,SP1000104.22.30282,SY1000104.2026.30282,iPad1(1000104),104,01.06.26 19:43,Prod,A1000104.6515,Tisch 16,102,S1000104.30282,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000104.30283,SP1000104.22.30283,SY1000104.2026.30283,iPad1(1000104),104,01.06.26 19:43,Prod,A1000104.6515,Tisch 16,102,S1000104.30283,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000104.30284,SP1000104.22.30284,SY1000104.2026.30284,iPad1(1000104),104,01.06.26 12:48,Prod,A1000104.6516,Tisch 3,119,S1000104.30284,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000104.30285,SP1000104.22.30285,SY1000104.2026.30285,iPad1(1000104),104,01.06.26 12:48,Prod,A1000104.6516,Tisch 3,119,S1000104.30285,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000104.30286,SP1000104.22.30286,SY1000104.2026.30286,iPad1(1000104),104,01.06.26 15:06,Prod,A1000104.6517,Tisch 12,114,S1000104.30286,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000104.30287,SP1000104.22.30287,SY1000104.2026.30287,iPad1(1000104),104,01.06.26 15:06,Prod,A1000104.6517,Tisch 12,114,S1000104.30287,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000104.30288,SP1000104.22.30288,SY1000104.2026.30288,iPad1(1000104),104,01.06.26 15:06,Prod,A1000104.6517,Tisch 12,114,S1000104.30288,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000104.30289,SP1000104.22.30289,SY1000104.2026.30289,iPad1(1000104),104,01.06.26 18:35,Prod,A1000104.6518,Tisch 16,102,S1000104.30289,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000104.30290,SP1000104.22.30290,SY1000104.2026.30290,iPad1(1000104),104,01.06.26 18:35,Prod,A1000104.6518,Tisch 16,102,S1000104.30290,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000104.30291,SP1000104.22.30291,SY1000104.2026.30291,iPad1(1000104),104,01.06.26 18:35,Prod,A1000104.6518,Tisch 16,102,S1000104.30291,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000104.30292,SP1000104.22.30292,SY1000104.2026.30292,iPad1(1000104),104,01.06.26 09:04,Prod,A1000104.6519,Tisch 9,113,S1000104.30292,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000104.30293,SP1000104.22.30293,SY1000104.2026.30293,iPad1(1000104),104,01.06.26 16:15,Prod,A1000104.6520,,119,S1000104.30293,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000104.30294,SP1000104.22.30294,SY1000104.2026.30294,iPad1(1000104),104,01.06.26 16:15,Prod,A1000104.6520,,119,S1000104.30294,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000104.30295,SP1000104.22.30295,SY1000104.2026.30295,iPad1(1000104),104,01.06.26 16:15,Prod,A1000104.6520,,119,S1000104.30295,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000104.30296,SP1000104.22.30296,SY1000104.2026.30296,iPad1(1000104),104,01.06.26 12:05,Prod,A1000104.6521,Tisch 15,114,S1000104.30296,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000104.30297,SP1000104.22.30297,SY1000104.2026.30297,iPad1(1000104),104,01.06.26 12:05,Prod,A1000104.6521,Tisch 15,114,S1000104.30297,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000104.30298,SP1000104.22.30298,SY1000104.2026.30298,iPad1(1000104),104,01.06.26 12:05,Prod,A1000104.6521,Tisch 15,114,S1000104.30298,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000104.30299,SP1000104.22.30299,SY1000104.2026.30299,iPad1(1000104),104,01.06.26 12:01,Prod,A1000104.6522,Tisch 13,119,S1000104.30299,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000104.30300,SP1000104.22.30300,SY1000104.2026.30300,iPad1(1000104),104,01.06.26 12:01,Prod,A1000104.6522,Tisch 13,119,S1000104.30300,VOID,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000104.30301,SP1000104.22.30301,SY1000104.2026.30301,iPad1(1000104),104,01.06.26 12:01,Prod,A1000104.6522,Tisch 13,119,S1000104.30301,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000104.30302,SP1000104.22.30302,SY1000104.2026.30302,iPad1(1000104),104,01.06.26 11:17,Prod,A1000104.6523,Tisch 15,113,S1000104.30302,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000104.30303,SP1000104.22.30303,SY1000104.2026.30303,iPad1(1000104),104,01.06.26 11:17,Prod,A1000104.6523,Tisch 15,113,S1000104.30303,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000104.30304,SP1000104.22.30304,SY1000104.2026.30304,iPad1(1000104),104,01.06.26 16:41,Prod,A1000104.6524,Tisch 8,102,S1000104.30304,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000104.30305,SP1000104.22.30305,SY1000104.2026.30305,iPad1(1000104),104,01.06.26 16:41,Prod,A1000104.6524,Tisch 8,102,S1000104.30305,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000104.30306,SP1000104.22.30306,SY1000104.2026.30306,iPad1(1000104),104,01.06.26 16:41,Prod,A1000104.6524,Tisch 8,102,S1000104.30306,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
