Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000003.88959,SP1000003.10.88959,SY1000003.2026.88959,iPad1(1000003),3,01.06.26 10:18,Prod,A1000003.6085,Tisch 15,117,S1000003.88959,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000003.88960,SP1000003.10.88960,SY1000003.2026.88960,iPad1(1000003),3,01.06.26 10:18,Prod,A1000003.6085,Tisch 15,117,S1000003.88960,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000003.88961,SP1000003.10.88961,SY1000003.2026.88961,iPad1(1000003),3,01.06.26 10:18,Prod,A1000003.6085,Tisch 15,117,S1000003.88961,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000003.88962,SP1000003.10.88962,SY1000003.2026.88962,iPad1(1000003),3,01.06.26 10:07,Prod,A1000003.6086,Tisch 7,109,S1000003.88962,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000003.88963,SP1000003.10.88963,SY1000003.2026.88963,iPad1(1000003),3,01.06.26 10:07,Prod,A1000003.6086,Tisch 7,109,S1000003.88963,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000003.88964,SP1000003.10.88964,SY1000003.2026.88964,iPad1(1000003),3,01.06.26 12:05,Prod,A1000003.6087,Tisch 7,102,S1000003.88964,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000003.88965,SP1000003.10.88965,SY1000003.2026.88965,iPad1(1000003),3,01.06.26 12:05,Prod,A1000003.6087,Tisch 7,102,S1000003.88965,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000003.88966,SP1000003.10.88966,SY1000003.2026.88966,iPad1(1000003),3,01.06.26 12:05,Prod,A1000003.6087,Tisch 7,102,S1000003.88966,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000003.88967,SP1000003.10.88967,SY1000003.2026.88967,iPad1(1000003),3,01.06.26 12:53,Prod,A1000003.6088,Tisch 20,119,S1000003.88967,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000003.88968,SP1000003.10.88968,SY1000003.2026.88968,iPad1(1000003),3,01.06.26 12:53,Prod,A1000003.6088,Tisch 20,119,S1000003.88968,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
