Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000317.31829,SP1000317.21.31829,SY1000317.2026.31829,iPad1(1000317),317,01.06.26 11:25,Prod,A1000317.6992,Tisch 21,119,S1000317.31829,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000317.31830,SP1000317.21.31830,SY1000317.2026.31830,iPad1(1000317),317,01.06.26 11:25,Prod,A1000317.6992,Tisch 21,119,S1000317.31830,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000317.31831,SP1000317.21.31831,SY1000317.2026.31831,iPad1(1000317),317,01.06.26 11:25,Prod,A1000317.6992,Tisch 21,119,S1000317.31831,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000317.31832,SP1000317.21.31832,SY1000317.2026.31832,iPad1(1000317),317,01.06.26 09:39,Prod,A1000317.6993,Tisch 5,101,S1000317.31832,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000317.31833,SP1000317.21.31833,SY1000317.2026.31833,iPad1(1000317),317,01.06.26 09:39,Prod,A1000317.6993,Tisch 5,101,S1000317.31833,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000317.31834,SP1000317.21.31834,SY1000317.2026.31834,iPad1(1000317),317,01.06.26 09:39,Prod,A1000317.6993,Tisch 5,101,S1000317.31834,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000317.31835,SP1000317.21.31835,SY1000317.2026.31835,iPad1(1000317),317,01.06.26 12:32,Prod,A1000317.6994,Tisch 14,111,S1000317.31835,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000317.31836,SP1000317.21.31836,SY1000317.2026.31836,iPad1(1000317),317,01.06.26 12:32,Prod,A1000317.6994,Tisch 14,111,S1000317.31836,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000317.31837,SP1000317.21.31837,SY1000317.2026.31837,iPad1(1000317),317,01.06.26 12:32,Prod,A1000317.6994,Tisch 14,111,S1000317.31837,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000317.31838,SP1000317.21.31838,SY1000317.2026.31838,iPad1(1000317),317,01.06.26 12:30,Prod,A1000317.6995,Tisch 4,109,S1000317.31838,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000317.31839,SP1000317.21.31839,SY1000317.2026.31839,iPad1(1000317),317,01.06.26 12:30,Prod,A1000317.6995,Tisch 4,109,S1000317.31839,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000317.31840,SP1000317.21.31840,SY1000317.2026.31840,iPad1(1000317),317,01.06.26 12:30,Prod,A1000317.6995,Tisch 4,109,S1000317.31840,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000317.31841,SP1000317.21.31841,SY1000317.2026.31841,iPad1(1000317),317,01.06.26 16:20,Prod,A1000317.6996,Tisch 16,120,S1000317.31841,VOID,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000317.31842,SP1000317.21.31842,SY1000317.2026.31842,iPad1(1000317),317,01.06.26 16:20,Prod,A1000317.6996,Tisch 16,120,S1000317.31842,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000317.31843,SP1000317.21.31843,SY1000317.2026.31843,iPad1(1000317),317,01.06.26 17:02,Prod,A1000317.6997,Tisch 4,109,S1000317.31843,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000317.31844,SP1000317.21.31844,SY1000317.2026.31844,iPad1(1000317),317,01.06.26 10:55,Prod,A1000317.6998,Tisch 15,111,S1000317.31844,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000317.31845,SP1000317.21.31845,SY1000317.2026.31845,iPad1(1000317),317,01.06.26 10:55,Prod,A1000317.6998,Tisch 15,111,S1000317.31845,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000317.31846,SP1000317.21.31846,SY1000317.2026.31846,iPad1(1000317),317,01.06.26 10:55,Prod,A1000317.6998,Tisch 15,111,S1000317.31846,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000317.31847,SP1000317.21.31847,SY1000317.2026.31847,iPad1(1000317),317,01.06.26 10:48,Prod,A1000317.6999,Tisch 15,119,S1000317.31847,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000317.31848,SP1000317.21.31848,SY1000317.2026.31848,iPad1(1000317),317,01.06.26 10:48,Prod,A1000317.6999,Tisch 15,119,S1000317.31848,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000317.31849,SP1000317.21.31849,SY1000317.2026.31849,iPad1(1000317),317,01.06.26 10:48,Prod,A1000317.6999,Tisch 15,119,S1000317.31849,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000317.31850,SP1000317.21.31850,SY1000317.2026.31850,iPad1(1000317),317,01.06.26 11:12,Prod,A1000317.7000,Tisch 3,111,S1000317.31850,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
