Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000324.61318,SP1000324.16.61318,SY1000324.2026.61318,iPad1(1000324),324,01.06.26 19:12,Prod,A1000324.6783,Tisch 12,110,S1000324.61318,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000324.61319,SP1000324.16.61319,SY1000324.2026.61319,iPad1(1000324),324,01.06.26 17:44,Prod,A1000324.6784,Tisch 22,119,S1000324.61319,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000324.61320,SP1000324.16.61320,SY1000324.2026.61320,iPad1(1000324),324,01.06.26 17:44,Prod,A1000324.6784,Tisch 22,119,S1000324.61320,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000324.61321,SP1000324.16.61321,SY1000324.2026.61321,iPad1(1000324),324,01.06.26 20:16,Prod,A1000324.6785,Tisch 5,102,S1000324.61321,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000324.61322,SP1000324.16.61322,SY1000324.2026.61322,iPad1(1000324),324,01.06.26 10:51,Prod,A1000324.6786,Tisch 19,106,S1000324.61322,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000324.61323,SP1000324.16.61323,SY1000324.2026.61323,iPad1(1000324),324,01.06.26 10:51,Prod,A1000324.6786,Tisch 19,106,S1000324.61323,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000324.61324,SP1000324.16.61324,SY1000324.2026.61324,iPad1(1000324),324,01.06.26 10:51,Prod,A1000324.6786,Tisch 19,106,S1000324.61324,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000324.61325,SP1000324.16.61325,SY1000324.2026.61325,iPad1(1000324),324,01.06.26 19:16,Prod,A1000324.6787,Tisch 20,119,S1000324.61325,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000324.61326,SP1000324.16.61326,SY1000324.2026.61326,iPad1(1000324),324,01.06.26 15:44,Prod,A1000324.6788,Tisch 12,102,S1000324.61326,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000324.61327,SP1000324.16.61327,SY1000324.2026.61327,iPad1(1000324),324,01.06.26 19:06,Prod,A1000324.6789,Tisch 4,104,S1000324.61327,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000324.61328,SP1000324.16.61328,SY1000324.2026.61328,iPad1(1000324),324,01.06.26 19:06,Prod,A1000324.6789,Tisch 4,104,S1000324.61328,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000324.61329,SP1000324.16.61329,SY1000324.2026.61329,iPad1(1000324),324,01.06.26 12:49,Prod,A1000324.6790,Tisch 19,110,S1000324.61329,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000324.61330,SP1000324.16.61330,SY1000324.2026.61330,iPad1(1000324),324,01.06.26 18:23,Prod,A1000324.6791,Tisch 9,105,S1000324.61330,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000324.61331,SP1000324.16.61331,SY1000324.2026.61331,iPad1(1000324),324,01.06.26 18:23,Prod,A1000324.6791,Tisch 9,105,S1000324.61331,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000324.61332,SP1000324.16.61332,SY1000324.2026.61332,iPad1(1000324),324,01.06.26 09:11,Prod,A1000324.6792,Tisch 3,115,S1000324.61332,VOID,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000324.61333,SP1000324.16.61333,SY1000324.2026.61333,iPad1(1000324),324,01.06.26 09:11,Prod,A1000324.6792,Tisch 3,115,S1000324.61333,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000324.61334,SP1000324.16.61334,SY1000324.2026.61334,iPad1(1000324),324,01.06.26 09:11,Prod,A1000324.6792,Tisch 3,115,S1000324.61334,VOID,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000324.61335,SP1000324.16.61335,SY1000324.2026.61335,iPad1(1000324),324,01.06.26 18:32,Prod,A1000324.6793,Tisch 14,106,S1000324.61335,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
