Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000272.69921,SP1000272.35.69921,SY1000272.2026.69921,iPad1(1000272),272,01.06.26 11:31,Prod,A1000272.6818,Tisch 22,106,S1000272.69921,VOID,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000272.69922,SP1000272.35.69922,SY1000272.2026.69922,iPad1(1000272),272,01.06.26 11:31,Prod,A1000272.6818,Tisch 22,106,S1000272.69922,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000272.69923,SP1000272.35.69923,SY1000272.2026.69923,iPad1(1000272),272,01.06.26 11:31,Prod,A1000272.6818,Tisch 22,106,S1000272.69923,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000272.69924,SP1000272.35.69924,SY1000272.2026.69924,iPad1(1000272),272,01.06.26 17:58,Prod,A1000272.6819,Tisch 1,103,S1000272.69924,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000272.69925,SP1000272.35.69925,SY1000272.2026.69925,iPad1(1000272),272,01.06.26 17:58,Prod,A1000272.6819,Tisch 1,103,S1000272.69925,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000272.69926,SP1000272.35.69926,SY1000272.2026.69926,iPad1(1000272),272,01.06.26 18:42,Prod,A1000272.6820,Tisch 1,103,S1000272.69926,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000272.69927,SP1000272.35.69927,SY1000272.2026.69927,iPad1(1000272),272,01.06.26 18:42,Prod,A1000272.6820,Tisch 1,103,S1000272.69927,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000272.69928,SP1000272.35.69928,SY1000272.2026.69928,iPad1(1000272),272,01.06.26 18:42,Prod,A1000272.6820,Tisch 1,103,S1000272.69928,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000272.69929,SP1000272.35.69929,SY1000272.2026.69929,iPad1(1000272),272,01.06.26 16:38,Prod,A1000272.6821,Tisch 8,103,S1000272.69929,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000272.69930,SP1000272.35.69930,SY1000272.2026.69930,iPad1(1000272),272,01.06.26 16:38,Prod,A1000272.6821,Tisch 8,103,S1000272.69930,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000272.69931,SP1000272.35.69931,SY1000272.2026.69931,iPad1(1000272),272,01.06.26 16:38,Prod,A1000272.6821,Tisch 8,103,S1000272.69931,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000272.69932,SP1000272.35.69932,SY1000272.2026.69932,iPad1(1000272),272,01.06.26 19:30,Prod,A1000272.6822,Tisch 24,106,S1000272.69932,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000272.69933,SP1000272.35.69933,SY1000272.2026.69933,iPad1(1000272),272,01.06.26 19:30,Prod,A1000272.6822,Tisch 24,106,S1000272.69933,VOID,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000272.69934,SP1000272.35.69934,SY1000272.2026.69934,iPad1(1000272),272,01.06.26 19:30,Prod,A1000272.6822,Tisch 24,106,S1000272.69934,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000272.69935,SP1000272.35.69935,SY1000272.2026.69935,iPad1(1000272),272,01.06.26 18:42,Prod,A1000272.6823,Tisch 3,106,S1000272.69935,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000272.69936,SP1000272.35.69936,SY1000272.2026.69936,iPad1(1000272),272,01.06.26 18:42,Prod,A1000272.6823,Tisch 3,106,S1000272.69936,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000272.69937,SP1000272.35.69937,SY1000272.2026.69937,iPad1(1000272),272,01.06.26 12:14,Prod,A1000272.6824,Tisch 13,103,S1000272.69937,VOID,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000272.69938,SP1000272.35.69938,SY1000272.2026.69938,iPad1(1000272),272,01.06.26 12:14,Prod,A1000272.6824,Tisch 13,103,S1000272.69938,VOID,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000272.69939,SP1000272.35.69939,SY1000272.2026.69939,iPad1(1000272),272,01.06.26 12:14,Prod,A1000272.6824,Tisch 13,103,S1000272.69939,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000272.69940,SP1000272.35.69940,SY1000272.2026.69940,iPad1(1000272),272,01.06.26 18:05,Prod,A1000272.6825,Tisch 7,101,S1000272.69940,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000272.69941,SP1000272.35.69941,SY1000272.2026.69941,iPad1(1000272),272,01.06.26 16:30,Prod,A1000272.6826,Tisch 6,103,S1000272.69941,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000272.69942,SP1000272.35.69942,SY1000272.2026.69942,iPad1(1000272),272,01.06.26 16:30,Prod,A1000272.6826,Tisch 6,103,S1000272.69942,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000272.69943,SP1000272.35.69943,SY1000272.2026.69943,iPad1(1000272),272,01.06.26 16:30,Prod,A1000272.6826,Tisch 6,103,S1000272.69943,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000272.69944,SP1000272.35.69944,SY1000272.2026.69944,iPad1(1000272),272,01.06.26 11:02,Prod,A1000272.6827,Tisch 7,102,S1000272.69944,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000272.69945,SP1000272.35.69945,SY1000272.2026.69945,iPad1(1000272),272,01.06.26 11:02,Prod,A1000272.6827,Tisch 7,102,S1000272.69945,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000272.69946,SP1000272.35.69946,SY1000272.2026.69946,iPad1(1000272),272,01.06.26 16:47,Prod,A1000272.6828,Tisch 1,120,S1000272.69946,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000272.69947,SP1000272.35.69947,SY1000272.2026.69947,iPad1(1000272),272,01.06.26 10:38,Prod,A1000272.6829,Tisch 23,115,S1000272.69947,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000272.69948,SP1000272.35.69948,SY1000272.2026.69948,iPad1(1000272),272,01.06.26 10:38,Prod,A1000272.6829,Tisch 23,115,S1000272.69948,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000272.69949,SP1000272.35.69949,SY1000272.2026.69949,iPad1(1000272),272,01.06.26 10:38,Prod,A1000272.6829,Tisch 23,115,S1000272.69949,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000272.69950,SP1000272.35.69950,SY1000272.2026.69950,iPad1(1000272),272,01.06.26 17:31,Prod,A1000272.6830,Tisch 6,106,S1000272.69950,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000272.69951,SP1000272.35.69951,SY1000272.2026.69951,iPad1(1000272),272,01.06.26 17:31,Prod,A1000272.6830,Tisch 6,106,S1000272.69951,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000272.69952,SP1000272.35.69952,SY1000272.2026.69952,iPad1(1000272),272,01.06.26 17:31,Prod,A1000272.6830,Tisch 6,106,S1000272.69952,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000272.69953,SP1000272.35.69953,SY1000272.2026.69953,iPad1(1000272),272,01.06.26 12:29,Prod,A1000272.6831,Tisch 5,103,S1000272.69953,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000272.69954,SP1000272.35.69954,SY1000272.2026.69954,iPad1(1000272),272,01.06.26 12:29,Prod,A1000272.6831,Tisch 5,103,S1000272.69954,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000272.69955,SP1000272.35.69955,SY1000272.2026.69955,iPad1(1000272),272,01.06.26 12:29,Prod,A1000272.6831,Tisch 5,103,S1000272.69955,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000272.69956,SP1000272.35.69956,SY1000272.2026.69956,iPad1(1000272),272,01.06.26 20:06,Prod,A1000272.6832,Tisch 18,101,S1000272.69956,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000272.69957,SP1000272.35.69957,SY1000272.2026.69957,iPad1(1000272),272,01.06.26 11:06,Prod,A1000272.6833,Tisch 11,120,S1000272.69957,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000272.69958,SP1000272.35.69958,SY1000272.2026.69958,iPad1(1000272),272,01.06.26 11:06,Prod,A1000272.6833,Tisch 11,120,S1000272.69958,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000272.69959,SP1000272.35.69959,SY1000272.2026.69959,iPad1(1000272),272,01.06.26 11:06,Prod,A1000272.6833,Tisch 11,120,S1000272.69959,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000272.69960,SP1000272.35.69960,SY1000272.2026.69960,iPad1(1000272),272,01.06.26 12:58,Prod,A1000272.6834,Tisch 17,103,S1000272.69960,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000272.69961,SP1000272.35.69961,SY1000272.2026.69961,iPad1(1000272),272,01.06.26 12:58,Prod,A1000272.6834,Tisch 17,103,S1000272.69961,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000272.69962,SP1000272.35.69962,SY1000272.2026.69962,iPad1(1000272),272,01.06.26 17:29,Prod,A1000272.6835,Tisch 21,103,S1000272.69962,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
