Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000258.68730,SP1000258.31.68730,SY1000258.2026.68730,iPad1(1000258),258,01.06.26 12:04,Prod,A1000258.6795,Tisch 24,108,S1000258.68730,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000258.68731,SP1000258.31.68731,SY1000258.2026.68731,iPad1(1000258),258,01.06.26 12:04,Prod,A1000258.6795,Tisch 24,108,S1000258.68731,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000258.68732,SP1000258.31.68732,SY1000258.2026.68732,iPad1(1000258),258,01.06.26 12:04,Prod,A1000258.6795,Tisch 24,108,S1000258.68732,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000258.68733,SP1000258.31.68733,SY1000258.2026.68733,iPad1(1000258),258,01.06.26 19:21,Prod,A1000258.6796,Tisch 3,117,S1000258.68733,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000258.68734,SP1000258.31.68734,SY1000258.2026.68734,iPad1(1000258),258,01.06.26 19:21,Prod,A1000258.6796,Tisch 3,117,S1000258.68734,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000258.68735,SP1000258.31.68735,SY1000258.2026.68735,iPad1(1000258),258,01.06.26 17:22,Prod,A1000258.6797,Tisch 22,103,S1000258.68735,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000258.68736,SP1000258.31.68736,SY1000258.2026.68736,iPad1(1000258),258,01.06.26 17:22,Prod,A1000258.6797,Tisch 22,103,S1000258.68736,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000258.68737,SP1000258.31.68737,SY1000258.2026.68737,iPad1(1000258),258,01.06.26 11:28,Prod,A1000258.6798,Tisch 10,112,S1000258.68737,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000258.68738,SP1000258.31.68738,SY1000258.2026.68738,iPad1(1000258),258,01.06.26 11:28,Prod,A1000258.6798,Tisch 10,112,S1000258.68738,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000258.68739,SP1000258.31.68739,SY1000258.2026.68739,iPad1(1000258),258,01.06.26 11:28,Prod,A1000258.6798,Tisch 10,112,S1000258.68739,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
