Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000146.32386,SP1000146.9.32386,SY1000146.2026.32386,iPad1(1000146),146,01.06.26 12:44,Prod,A1000146.6540,Tisch 20,114,S1000146.32386,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000146.32387,SP1000146.9.32387,SY1000146.2026.32387,iPad1(1000146),146,01.06.26 12:44,Prod,A1000146.6540,Tisch 20,114,S1000146.32387,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000146.32388,SP1000146.9.32388,SY1000146.2026.32388,iPad1(1000146),146,01.06.26 08:04,Prod,A1000146.6541,Tisch 18,114,S1000146.32388,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000146.32389,SP1000146.9.32389,SY1000146.2026.32389,iPad1(1000146),146,01.06.26 13:22,Prod,A1000146.6542,Tisch 22,107,S1000146.32389,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000146.32390,SP1000146.9.32390,SY1000146.2026.32390,iPad1(1000146),146,01.06.26 13:22,Prod,A1000146.6542,Tisch 22,107,S1000146.32390,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000146.32391,SP1000146.9.32391,SY1000146.2026.32391,iPad1(1000146),146,01.06.26 13:22,Prod,A1000146.6542,Tisch 22,107,S1000146.32391,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000146.32392,SP1000146.9.32392,SY1000146.2026.32392,iPad1(1000146),146,01.06.26 18:16,Prod,A1000146.6543,Tisch 16,114,S1000146.32392,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000146.32393,SP1000146.9.32393,SY1000146.2026.32393,iPad1(1000146),146,01.06.26 18:16,Prod,A1000146.6543,Tisch 16,114,S1000146.32393,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000146.32394,SP1000146.9.32394,SY1000146.2026.32394,iPad1(1000146),146,01.06.26 12:46,Prod,A1000146.6544,Tisch 20,102,S1000146.32394,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000146.32395,SP1000146.9.32395,SY1000146.2026.32395,iPad1(1000146),146,01.06.26 12:46,Prod,A1000146.6544,Tisch 20,102,S1000146.32395,VOID,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000146.32396,SP1000146.9.32396,SY1000146.2026.32396,iPad1(1000146),146,01.06.26 13:35,Prod,A1000146.6545,Tisch 21,117,S1000146.32396,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000146.32397,SP1000146.9.32397,SY1000146.2026.32397,iPad1(1000146),146,01.06.26 13:35,Prod,A1000146.6545,Tisch 21,117,S1000146.32397,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000146.32398,SP1000146.9.32398,SY1000146.2026.32398,iPad1(1000146),146,01.06.26 13:35,Prod,A1000146.6545,Tisch 21,117,S1000146.32398,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000146.32399,SP1000146.9.32399,SY1000146.2026.32399,iPad1(1000146),146,01.06.26 17:12,Prod,A1000146.6546,Tisch 17,117,S1000146.32399,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000146.32400,SP1000146.9.32400,SY1000146.2026.32400,iPad1(1000146),146,01.06.26 17:12,Prod,A1000146.6546,Tisch 17,117,S1000146.32400,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000146.32401,SP1000146.9.32401,SY1000146.2026.32401,iPad1(1000146),146,01.06.26 17:12,Prod,A1000146.6546,Tisch 17,117,S1000146.32401,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000146.32402,SP1000146.9.32402,SY1000146.2026.32402,iPad1(1000146),146,01.06.26 17:56,Prod,A1000146.6547,Tisch 20,119,S1000146.32402,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
