Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000122.35865,SP1000122.40.35865,SY1000122.2026.35865,iPad1(1000122),122,01.06.26 16:58,Prod,A1000122.6120,Tisch 10,115,S1000122.35865,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000122.35866,SP1000122.40.35866,SY1000122.2026.35866,iPad1(1000122),122,01.06.26 20:25,Prod,A1000122.6121,Tisch 6,101,S1000122.35866,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000122.35867,SP1000122.40.35867,SY1000122.2026.35867,iPad1(1000122),122,01.06.26 20:25,Prod,A1000122.6121,Tisch 6,101,S1000122.35867,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000122.35868,SP1000122.40.35868,SY1000122.2026.35868,iPad1(1000122),122,01.06.26 20:25,Prod,A1000122.6121,Tisch 6,101,S1000122.35868,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000122.35869,SP1000122.40.35869,SY1000122.2026.35869,iPad1(1000122),122,01.06.26 12:51,Prod,A1000122.6122,Tisch 16,101,S1000122.35869,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000122.35870,SP1000122.40.35870,SY1000122.2026.35870,iPad1(1000122),122,01.06.26 12:51,Prod,A1000122.6122,Tisch 16,101,S1000122.35870,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000122.35871,SP1000122.40.35871,SY1000122.2026.35871,iPad1(1000122),122,01.06.26 12:51,Prod,A1000122.6122,Tisch 16,101,S1000122.35871,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000122.35872,SP1000122.40.35872,SY1000122.2026.35872,iPad1(1000122),122,01.06.26 12:14,Prod,A1000122.6123,Tisch 5,116,S1000122.35872,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000122.35873,SP1000122.40.35873,SY1000122.2026.35873,iPad1(1000122),122,01.06.26 20:54,Prod,A1000122.6124,Tisch 13,101,S1000122.35873,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000122.35874,SP1000122.40.35874,SY1000122.2026.35874,iPad1(1000122),122,01.06.26 20:54,Prod,A1000122.6124,Tisch 13,101,S1000122.35874,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000122.35875,SP1000122.40.35875,SY1000122.2026.35875,iPad1(1000122),122,01.06.26 11:23,Prod,A1000122.6125,Tisch 24,115,S1000122.35875,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000122.35876,SP1000122.40.35876,SY1000122.2026.35876,iPad1(1000122),122,01.06.26 10:03,Prod,A1000122.6126,Tisch 3,116,S1000122.35876,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000122.35877,SP1000122.40.35877,SY1000122.2026.35877,iPad1(1000122),122,01.06.26 10:03,Prod,A1000122.6126,Tisch 3,116,S1000122.35877,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000122.35878,SP1000122.40.35878,SY1000122.2026.35878,iPad1(1000122),122,01.06.26 10:03,Prod,A1000122.6126,Tisch 3,116,S1000122.35878,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
