Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000073.29875,SP1000073.42.29875,SY1000073.2026.29875,iPad1(1000073),73,01.06.26 20:20,Prod,A1000073.6570,Tisch 10,110,S1000073.29875,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000073.29876,SP1000073.42.29876,SY1000073.2026.29876,iPad1(1000073),73,01.06.26 20:20,Prod,A1000073.6570,Tisch 10,110,S1000073.29876,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000073.29877,SP1000073.42.29877,SY1000073.2026.29877,iPad1(1000073),73,01.06.26 20:20,Prod,A1000073.6570,Tisch 10,110,S1000073.29877,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000073.29878,SP1000073.42.29878,SY1000073.2026.29878,iPad1(1000073),73,01.06.26 12:28,Prod,A1000073.6571,Tisch 4,106,S1000073.29878,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000073.29879,SP1000073.42.29879,SY1000073.2026.29879,iPad1(1000073),73,01.06.26 12:28,Prod,A1000073.6571,Tisch 4,106,S1000073.29879,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000073.29880,SP1000073.42.29880,SY1000073.2026.29880,iPad1(1000073),73,01.06.26 12:28,Prod,A1000073.6571,Tisch 4,106,S1000073.29880,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000073.29881,SP1000073.42.29881,SY1000073.2026.29881,iPad1(1000073),73,01.06.26 12:50,Prod,A1000073.6572,Tisch 14,110,S1000073.29881,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000073.29882,SP1000073.42.29882,SY1000073.2026.29882,iPad1(1000073),73,01.06.26 20:44,Prod,A1000073.6573,Tisch 3,119,S1000073.29882,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000073.29883,SP1000073.42.29883,SY1000073.2026.29883,iPad1(1000073),73,01.06.26 20:44,Prod,A1000073.6573,Tisch 3,119,S1000073.29883,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000073.29884,SP1000073.42.29884,SY1000073.2026.29884,iPad1(1000073),73,01.06.26 13:24,Prod,A1000073.6574,Tisch 24,110,S1000073.29884,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000073.29885,SP1000073.42.29885,SY1000073.2026.29885,iPad1(1000073),73,01.06.26 13:24,Prod,A1000073.6574,Tisch 24,110,S1000073.29885,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000073.29886,SP1000073.42.29886,SY1000073.2026.29886,iPad1(1000073),73,01.06.26 17:27,Prod,A1000073.6575,Tisch 20,102,S1000073.29886,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000073.29887,SP1000073.42.29887,SY1000073.2026.29887,iPad1(1000073),73,01.06.26 15:21,Prod,A1000073.6576,Tisch 20,118,S1000073.29887,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000073.29888,SP1000073.42.29888,SY1000073.2026.29888,iPad1(1000073),73,01.06.26 15:21,Prod,A1000073.6576,Tisch 20,118,S1000073.29888,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000073.29889,SP1000073.42.29889,SY1000073.2026.29889,iPad1(1000073),73,01.06.26 15:21,Prod,A1000073.6576,Tisch 20,118,S1000073.29889,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000073.29890,SP1000073.42.29890,SY1000073.2026.29890,iPad1(1000073),73,01.06.26 18:36,Prod,A1000073.6577,,106,S1000073.29890,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000073.29891,SP1000073.42.29891,SY1000073.2026.29891,iPad1(1000073),73,01.06.26 18:36,Prod,A1000073.6577,,106,S1000073.29891,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000073.29892,SP1000073.42.29892,SY1000073.2026.29892,iPad1(1000073),73,01.06.26 20:57,Prod,A1000073.6578,Tisch 1,102,S1000073.29892,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000073.29893,SP1000073.42.29893,SY1000073.2026.29893,iPad1(1000073),73,01.06.26 20:57,Prod,A1000073.6578,Tisch 1,102,S1000073.29893,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000073.29894,SP1000073.42.29894,SY1000073.2026.29894,iPad1(1000073),73,01.06.26 19:39,Prod,A1000073.6579,Tisch 10,102,S1000073.29894,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000073.29895,SP1000073.42.29895,SY1000073.2026.29895,iPad1(1000073),73,01.06.26 19:39,Prod,A1000073.6579,Tisch 10,102,S1000073.29895,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000073.29896,SP1000073.42.29896,SY1000073.2026.29896,iPad1(1000073),73,01.06.26 19:39,Prod,A1000073.6579,Tisch 10,102,S1000073.29896,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000073.29897,SP1000073.42.29897,SY1000073.2026.29897,iPad1(1000073),73,01.06.26 12:24,Prod,A1000073.6580,Tisch 21,119,S1000073.29897,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000073.29898,SP1000073.42.29898,SY1000073.2026.29898,iPad1(1000073),73,01.06.26 20:41,Prod,A1000073.6581,Tisch 22,102,S1000073.29898,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000073.29899,SP1000073.42.29899,SY1000073.2026.29899,iPad1(1000073),73,01.06.26 20:41,Prod,A1000073.6581,Tisch 22,102,S1000073.29899,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000073.29900,SP1000073.42.29900,SY1000073.2026.29900,iPad1(1000073),73,01.06.26 18:10,Prod,A1000073.6582,Tisch 4,120,S1000073.29900,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000073.29901,SP1000073.42.29901,SY1000073.2026.29901,iPad1(1000073),73,01.06.26 15:23,Prod,A1000073.6583,Tisch 8,118,S1000073.29901,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000073.29902,SP1000073.42.29902,SY1000073.2026.29902,iPad1(1000073),73,01.06.26 15:23,Prod,A1000073.6583,Tisch 8,118,S1000073.29902,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000073.29903,SP1000073.42.29903,SY1000073.2026.29903,iPad1(1000073),73,01.06.26 17:49,Prod,A1000073.6584,Tisch 23,118,S1000073.29903,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
