Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000294.71246,SP1000294.40.71246,SY1000294.2026.71246,iPad1(1000294),294,01.06.26 20:23,Prod,A1000294.6620,,106,S1000294.71246,VOID,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000294.71247,SP1000294.40.71247,SY1000294.2026.71247,iPad1(1000294),294,01.06.26 20:23,Prod,A1000294.6620,,106,S1000294.71247,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000294.71248,SP1000294.40.71248,SY1000294.2026.71248,iPad1(1000294),294,01.06.26 20:23,Prod,A1000294.6620,,106,S1000294.71248,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000294.71249,SP1000294.40.71249,SY1000294.2026.71249,iPad1(1000294),294,01.06.26 10:30,Prod,A1000294.6621,Tisch 7,103,S1000294.71249,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000294.71250,SP1000294.40.71250,SY1000294.2026.71250,iPad1(1000294),294,01.06.26 10:30,Prod,A1000294.6621,Tisch 7,103,S1000294.71250,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000294.71251,SP1000294.40.71251,SY1000294.2026.71251,iPad1(1000294),294,01.06.26 10:30,Prod,A1000294.6621,Tisch 7,103,S1000294.71251,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000294.71252,SP1000294.40.71252,SY1000294.2026.71252,iPad1(1000294),294,01.06.26 12:54,Prod,A1000294.6622,Tisch 22,103,S1000294.71252,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000294.71253,SP1000294.40.71253,SY1000294.2026.71253,iPad1(1000294),294,01.06.26 12:54,Prod,A1000294.6622,Tisch 22,103,S1000294.71253,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000294.71254,SP1000294.40.71254,SY1000294.2026.71254,iPad1(1000294),294,01.06.26 12:54,Prod,A1000294.6622,Tisch 22,103,S1000294.71254,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000294.71255,SP1000294.40.71255,SY1000294.2026.71255,iPad1(1000294),294,01.06.26 13:33,Prod,A1000294.6623,Tisch 23,103,S1000294.71255,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
