Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000046.15792,SP1000046.49.15792,SY1000046.2026.15792,iPad1(1000046),46,01.06.26 13:45,Prod,A1000046.6946,Tisch 20,114,S1000046.15792,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000046.15793,SP1000046.49.15793,SY1000046.2026.15793,iPad1(1000046),46,01.06.26 13:45,Prod,A1000046.6946,Tisch 20,114,S1000046.15793,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000046.15794,SP1000046.49.15794,SY1000046.2026.15794,iPad1(1000046),46,01.06.26 12:56,Prod,A1000046.6947,Tisch 18,114,S1000046.15794,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000046.15795,SP1000046.49.15795,SY1000046.2026.15795,iPad1(1000046),46,01.06.26 12:56,Prod,A1000046.6947,Tisch 18,114,S1000046.15795,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000046.15796,SP1000046.49.15796,SY1000046.2026.15796,iPad1(1000046),46,01.06.26 12:56,Prod,A1000046.6947,Tisch 18,114,S1000046.15796,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000046.15797,SP1000046.49.15797,SY1000046.2026.15797,iPad1(1000046),46,01.06.26 19:12,Prod,A1000046.6948,Tisch 16,114,S1000046.15797,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000046.15798,SP1000046.49.15798,SY1000046.2026.15798,iPad1(1000046),46,01.06.26 19:12,Prod,A1000046.6948,Tisch 16,114,S1000046.15798,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000046.15799,SP1000046.49.15799,SY1000046.2026.15799,iPad1(1000046),46,01.06.26 19:12,Prod,A1000046.6948,Tisch 16,114,S1000046.15799,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000046.15800,SP1000046.49.15800,SY1000046.2026.15800,iPad1(1000046),46,01.06.26 12:46,Prod,A1000046.6949,Tisch 18,118,S1000046.15800,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000046.15801,SP1000046.49.15801,SY1000046.2026.15801,iPad1(1000046),46,01.06.26 12:46,Prod,A1000046.6949,Tisch 18,118,S1000046.15801,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000046.15802,SP1000046.49.15802,SY1000046.2026.15802,iPad1(1000046),46,01.06.26 12:46,Prod,A1000046.6949,Tisch 18,118,S1000046.15802,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000046.15803,SP1000046.49.15803,SY1000046.2026.15803,iPad1(1000046),46,01.06.26 12:35,Prod,A1000046.6950,Tisch 3,117,S1000046.15803,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000046.15804,SP1000046.49.15804,SY1000046.2026.15804,iPad1(1000046),46,01.06.26 12:35,Prod,A1000046.6950,Tisch 3,117,S1000046.15804,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000046.15805,SP1000046.49.15805,SY1000046.2026.15805,iPad1(1000046),46,01.06.26 12:35,Prod,A1000046.6950,Tisch 3,117,S1000046.15805,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000046.15806,SP1000046.49.15806,SY1000046.2026.15806,iPad1(1000046),46,01.06.26 18:49,Prod,A1000046.6951,,112,S1000046.15806,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000046.15807,SP1000046.49.15807,SY1000046.2026.15807,iPad1(1000046),46,01.06.26 17:16,Prod,A1000046.6952,,114,S1000046.15807,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000046.15808,SP1000046.49.15808,SY1000046.2026.15808,iPad1(1000046),46,01.06.26 17:16,Prod,A1000046.6952,,114,S1000046.15808,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
