Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000102.41994,SP1000102.11.41994,SY1000102.2026.41994,iPad1(1000102),102,01.06.26 11:41,Prod,A1000102.6573,Tisch 3,107,S1000102.41994,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000102.41995,SP1000102.11.41995,SY1000102.2026.41995,iPad1(1000102),102,01.06.26 11:41,Prod,A1000102.6573,Tisch 3,107,S1000102.41995,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000102.41996,SP1000102.11.41996,SY1000102.2026.41996,iPad1(1000102),102,01.06.26 11:41,Prod,A1000102.6573,Tisch 3,107,S1000102.41996,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000102.41997,SP1000102.11.41997,SY1000102.2026.41997,iPad1(1000102),102,01.06.26 18:19,Prod,A1000102.6574,Tisch 10,107,S1000102.41997,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000102.41998,SP1000102.11.41998,SY1000102.2026.41998,iPad1(1000102),102,01.06.26 12:38,Prod,A1000102.6575,Tisch 14,107,S1000102.41998,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000102.41999,SP1000102.11.41999,SY1000102.2026.41999,iPad1(1000102),102,01.06.26 09:35,Prod,A1000102.6576,Tisch 3,107,S1000102.41999,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000102.42000,SP1000102.11.42000,SY1000102.2026.42000,iPad1(1000102),102,01.06.26 20:11,Prod,A1000102.6577,Tisch 9,105,S1000102.42000,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000102.42001,SP1000102.11.42001,SY1000102.2026.42001,iPad1(1000102),102,01.06.26 20:11,Prod,A1000102.6577,Tisch 9,105,S1000102.42001,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000102.42002,SP1000102.11.42002,SY1000102.2026.42002,iPad1(1000102),102,01.06.26 15:53,Prod,A1000102.6578,Tisch 10,104,S1000102.42002,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000102.42003,SP1000102.11.42003,SY1000102.2026.42003,iPad1(1000102),102,01.06.26 15:53,Prod,A1000102.6578,Tisch 10,104,S1000102.42003,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
