Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000096.65475,SP1000096.34.65475,SY1000096.2026.65475,iPad1(1000096),96,01.06.26 09:29,Prod,A1000096.6100,Tisch 14,106,S1000096.65475,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000096.65476,SP1000096.34.65476,SY1000096.2026.65476,iPad1(1000096),96,01.06.26 09:29,Prod,A1000096.6100,Tisch 14,106,S1000096.65476,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000096.65477,SP1000096.34.65477,SY1000096.2026.65477,iPad1(1000096),96,01.06.26 20:37,Prod,A1000096.6101,Tisch 16,113,S1000096.65477,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000096.65478,SP1000096.34.65478,SY1000096.2026.65478,iPad1(1000096),96,01.06.26 10:22,Prod,A1000096.6102,Tisch 10,106,S1000096.65478,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000096.65479,SP1000096.34.65479,SY1000096.2026.65479,iPad1(1000096),96,01.06.26 17:25,Prod,A1000096.6103,Tisch 2,112,S1000096.65479,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000096.65480,SP1000096.34.65480,SY1000096.2026.65480,iPad1(1000096),96,01.06.26 17:25,Prod,A1000096.6103,Tisch 2,112,S1000096.65480,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000096.65481,SP1000096.34.65481,SY1000096.2026.65481,iPad1(1000096),96,01.06.26 13:19,Prod,A1000096.6104,,101,S1000096.65481,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000096.65482,SP1000096.34.65482,SY1000096.2026.65482,iPad1(1000096),96,01.06.26 19:46,Prod,A1000096.6105,Tisch 7,103,S1000096.65482,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000096.65483,SP1000096.34.65483,SY1000096.2026.65483,iPad1(1000096),96,01.06.26 09:12,Prod,A1000096.6106,Tisch 21,101,S1000096.65483,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000096.65484,SP1000096.34.65484,SY1000096.2026.65484,iPad1(1000096),96,01.06.26 09:12,Prod,A1000096.6106,Tisch 21,101,S1000096.65484,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000096.65485,SP1000096.34.65485,SY1000096.2026.65485,iPad1(1000096),96,01.06.26 09:12,Prod,A1000096.6106,Tisch 21,101,S1000096.65485,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000096.65486,SP1000096.34.65486,SY1000096.2026.65486,iPad1(1000096),96,01.06.26 12:16,Prod,A1000096.6107,Tisch 2,103,S1000096.65486,VOID,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000096.65487,SP1000096.34.65487,SY1000096.2026.65487,iPad1(1000096),96,01.06.26 12:16,Prod,A1000096.6107,Tisch 2,103,S1000096.65487,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000096.65488,SP1000096.34.65488,SY1000096.2026.65488,iPad1(1000096),96,01.06.26 11:05,Prod,A1000096.6108,Tisch 21,103,S1000096.65488,VOID,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000096.65489,SP1000096.34.65489,SY1000096.2026.65489,iPad1(1000096),96,01.06.26 16:35,Prod,A1000096.6109,Tisch 16,103,S1000096.65489,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000096.65490,SP1000096.34.65490,SY1000096.2026.65490,iPad1(1000096),96,01.06.26 16:35,Prod,A1000096.6109,Tisch 16,103,S1000096.65490,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000096.65491,SP1000096.34.65491,SY1000096.2026.65491,iPad1(1000096),96,01.06.26 16:35,Prod,A1000096.6109,Tisch 16,103,S1000096.65491,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000096.65492,SP1000096.34.65492,SY1000096.2026.65492,iPad1(1000096),96,01.06.26 15:30,Prod,A1000096.6110,Tisch 20,103,S1000096.65492,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000096.65493,SP1000096.34.65493,SY1000096.2026.65493,iPad1(1000096),96,01.06.26 15:30,Prod,A1000096.6110,Tisch 20,103,S1000096.65493,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
