Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000325.63073,SP1000325.8.63073,SY1000325.2026.63073,iPad1(1000325),325,01.06.26 18:20,Prod,A1000325.6630,Tisch 16,114,S1000325.63073,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000325.63074,SP1000325.8.63074,SY1000325.2026.63074,iPad1(1000325),325,01.06.26 18:05,Prod,A1000325.6631,Tisch 1,106,S1000325.63074,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000325.63075,SP1000325.8.63075,SY1000325.2026.63075,iPad1(1000325),325,01.06.26 18:05,Prod,A1000325.6631,Tisch 1,106,S1000325.63075,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000325.63076,SP1000325.8.63076,SY1000325.2026.63076,iPad1(1000325),325,01.06.26 18:05,Prod,A1000325.6631,Tisch 1,106,S1000325.63076,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000325.63077,SP1000325.8.63077,SY1000325.2026.63077,iPad1(1000325),325,01.06.26 16:24,Prod,A1000325.6632,Tisch 12,106,S1000325.63077,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000325.63078,SP1000325.8.63078,SY1000325.2026.63078,iPad1(1000325),325,01.06.26 16:24,Prod,A1000325.6632,Tisch 12,106,S1000325.63078,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000325.63079,SP1000325.8.63079,SY1000325.2026.63079,iPad1(1000325),325,01.06.26 19:18,Prod,A1000325.6633,Tisch 7,114,S1000325.63079,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000325.63080,SP1000325.8.63080,SY1000325.2026.63080,iPad1(1000325),325,01.06.26 19:18,Prod,A1000325.6633,Tisch 7,114,S1000325.63080,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000325.63081,SP1000325.8.63081,SY1000325.2026.63081,iPad1(1000325),325,01.06.26 19:18,Prod,A1000325.6633,Tisch 7,114,S1000325.63081,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000325.63082,SP1000325.8.63082,SY1000325.2026.63082,iPad1(1000325),325,01.06.26 16:30,Prod,A1000325.6634,Tisch 18,114,S1000325.63082,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000325.63083,SP1000325.8.63083,SY1000325.2026.63083,iPad1(1000325),325,01.06.26 12:53,Prod,A1000325.6635,Tisch 23,106,S1000325.63083,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000325.63084,SP1000325.8.63084,SY1000325.2026.63084,iPad1(1000325),325,01.06.26 16:07,Prod,A1000325.6636,Tisch 4,111,S1000325.63084,VOID,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000325.63085,SP1000325.8.63085,SY1000325.2026.63085,iPad1(1000325),325,01.06.26 08:50,Prod,A1000325.6637,Tisch 1,116,S1000325.63085,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000325.63086,SP1000325.8.63086,SY1000325.2026.63086,iPad1(1000325),325,01.06.26 11:22,Prod,A1000325.6638,Tisch 18,112,S1000325.63086,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000325.63087,SP1000325.8.63087,SY1000325.2026.63087,iPad1(1000325),325,01.06.26 18:29,Prod,A1000325.6639,,116,S1000325.63087,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000325.63088,SP1000325.8.63088,SY1000325.2026.63088,iPad1(1000325),325,01.06.26 18:29,Prod,A1000325.6639,,116,S1000325.63088,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000325.63089,SP1000325.8.63089,SY1000325.2026.63089,iPad1(1000325),325,01.06.26 19:37,Prod,A1000325.6640,Tisch 21,116,S1000325.63089,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
