Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000112.22008,SP1000112.19.22008,SY1000112.2026.22008,iPad1(1000112),112,01.06.26 09:49,Prod,A1000112.6636,Tisch 11,116,S1000112.22008,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000112.22009,SP1000112.19.22009,SY1000112.2026.22009,iPad1(1000112),112,01.06.26 09:49,Prod,A1000112.6636,Tisch 11,116,S1000112.22009,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000112.22010,SP1000112.19.22010,SY1000112.2026.22010,iPad1(1000112),112,01.06.26 09:49,Prod,A1000112.6636,Tisch 11,116,S1000112.22010,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000112.22011,SP1000112.19.22011,SY1000112.2026.22011,iPad1(1000112),112,01.06.26 12:14,Prod,A1000112.6637,Tisch 14,120,S1000112.22011,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000112.22012,SP1000112.19.22012,SY1000112.2026.22012,iPad1(1000112),112,01.06.26 12:14,Prod,A1000112.6637,Tisch 14,120,S1000112.22012,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000112.22013,SP1000112.19.22013,SY1000112.2026.22013,iPad1(1000112),112,01.06.26 12:14,Prod,A1000112.6637,Tisch 14,120,S1000112.22013,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000112.22014,SP1000112.19.22014,SY1000112.2026.22014,iPad1(1000112),112,01.06.26 17:00,Prod,A1000112.6638,Tisch 5,110,S1000112.22014,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000112.22015,SP1000112.19.22015,SY1000112.2026.22015,iPad1(1000112),112,01.06.26 17:00,Prod,A1000112.6638,Tisch 5,110,S1000112.22015,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000112.22016,SP1000112.19.22016,SY1000112.2026.22016,iPad1(1000112),112,01.06.26 17:00,Prod,A1000112.6638,Tisch 5,110,S1000112.22016,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000112.22017,SP1000112.19.22017,SY1000112.2026.22017,iPad1(1000112),112,01.06.26 19:18,Prod,A1000112.6639,Tisch 22,110,S1000112.22017,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000112.22018,SP1000112.19.22018,SY1000112.2026.22018,iPad1(1000112),112,01.06.26 19:18,Prod,A1000112.6639,Tisch 22,110,S1000112.22018,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000112.22019,SP1000112.19.22019,SY1000112.2026.22019,iPad1(1000112),112,01.06.26 17:44,Prod,A1000112.6640,Tisch 20,120,S1000112.22019,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000112.22020,SP1000112.19.22020,SY1000112.2026.22020,iPad1(1000112),112,01.06.26 10:06,Prod,A1000112.6641,Tisch 19,110,S1000112.22020,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000112.22021,SP1000112.19.22021,SY1000112.2026.22021,iPad1(1000112),112,01.06.26 16:48,Prod,A1000112.6642,Tisch 16,107,S1000112.22021,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000112.22022,SP1000112.19.22022,SY1000112.2026.22022,iPad1(1000112),112,01.06.26 16:48,Prod,A1000112.6642,Tisch 16,107,S1000112.22022,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000112.22023,SP1000112.19.22023,SY1000112.2026.22023,iPad1(1000112),112,01.06.26 13:53,Prod,A1000112.6643,Tisch 8,116,S1000112.22023,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000112.22024,SP1000112.19.22024,SY1000112.2026.22024,iPad1(1000112),112,01.06.26 13:53,Prod,A1000112.6643,Tisch 8,116,S1000112.22024,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000112.22025,SP1000112.19.22025,SY1000112.2026.22025,iPad1(1000112),112,01.06.26 11:29,Prod,A1000112.6644,Tisch 20,107,S1000112.22025,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000112.22026,SP1000112.19.22026,SY1000112.2026.22026,iPad1(1000112),112,01.06.26 16:51,Prod,A1000112.6645,Tisch 5,115,S1000112.22026,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000112.22027,SP1000112.19.22027,SY1000112.2026.22027,iPad1(1000112),112,01.06.26 16:51,Prod,A1000112.6645,Tisch 5,115,S1000112.22027,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000112.22028,SP1000112.19.22028,SY1000112.2026.22028,iPad1(1000112),112,01.06.26 18:23,Prod,A1000112.6646,Tisch 2,106,S1000112.22028,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000112.22029,SP1000112.19.22029,SY1000112.2026.22029,iPad1(1000112),112,01.06.26 18:23,Prod,A1000112.6646,Tisch 2,106,S1000112.22029,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000112.22030,SP1000112.19.22030,SY1000112.2026.22030,iPad1(1000112),112,01.06.26 20:23,Prod,A1000112.6647,Tisch 11,107,S1000112.22030,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000112.22031,SP1000112.19.22031,SY1000112.2026.22031,iPad1(1000112),112,01.06.26 20:23,Prod,A1000112.6647,Tisch 11,107,S1000112.22031,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000112.22032,SP1000112.19.22032,SY1000112.2026.22032,iPad1(1000112),112,01.06.26 16:30,Prod,A1000112.6648,Tisch 2,107,S1000112.22032,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000112.22033,SP1000112.19.22033,SY1000112.2026.22033,iPad1(1000112),112,01.06.26 16:30,Prod,A1000112.6648,Tisch 2,107,S1000112.22033,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000112.22034,SP1000112.19.22034,SY1000112.2026.22034,iPad1(1000112),112,01.06.26 16:30,Prod,A1000112.6648,Tisch 2,107,S1000112.22034,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000112.22035,SP1000112.19.22035,SY1000112.2026.22035,iPad1(1000112),112,01.06.26 12:20,Prod,A1000112.6649,Tisch 21,110,S1000112.22035,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000112.22036,SP1000112.19.22036,SY1000112.2026.22036,iPad1(1000112),112,01.06.26 12:20,Prod,A1000112.6649,Tisch 21,110,S1000112.22036,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
