Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000204.75264,SP1000204.31.75264,SY1000204.2026.75264,iPad1(1000204),204,01.06.26 11:00,Prod,A1000204.6667,Tisch 3,111,S1000204.75264,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000204.75265,SP1000204.31.75265,SY1000204.2026.75265,iPad1(1000204),204,01.06.26 11:00,Prod,A1000204.6667,Tisch 3,111,S1000204.75265,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000204.75266,SP1000204.31.75266,SY1000204.2026.75266,iPad1(1000204),204,01.06.26 20:03,Prod,A1000204.6668,Tisch 22,113,S1000204.75266,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000204.75267,SP1000204.31.75267,SY1000204.2026.75267,iPad1(1000204),204,01.06.26 12:53,Prod,A1000204.6669,Tisch 20,111,S1000204.75267,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000204.75268,SP1000204.31.75268,SY1000204.2026.75268,iPad1(1000204),204,01.06.26 16:38,Prod,A1000204.6670,Tisch 13,109,S1000204.75268,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000204.75269,SP1000204.31.75269,SY1000204.2026.75269,iPad1(1000204),204,01.06.26 16:38,Prod,A1000204.6670,Tisch 13,109,S1000204.75269,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000204.75270,SP1000204.31.75270,SY1000204.2026.75270,iPad1(1000204),204,01.06.26 17:12,Prod,A1000204.6671,Tisch 18,102,S1000204.75270,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000204.75271,SP1000204.31.75271,SY1000204.2026.75271,iPad1(1000204),204,01.06.26 13:40,Prod,A1000204.6672,Tisch 14,109,S1000204.75271,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000204.75272,SP1000204.31.75272,SY1000204.2026.75272,iPad1(1000204),204,01.06.26 11:22,Prod,A1000204.6673,Tisch 15,111,S1000204.75272,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000204.75273,SP1000204.31.75273,SY1000204.2026.75273,iPad1(1000204),204,01.06.26 11:22,Prod,A1000204.6673,Tisch 15,111,S1000204.75273,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000204.75274,SP1000204.31.75274,SY1000204.2026.75274,iPad1(1000204),204,01.06.26 19:15,Prod,A1000204.6674,Tisch 12,113,S1000204.75274,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000204.75275,SP1000204.31.75275,SY1000204.2026.75275,iPad1(1000204),204,01.06.26 19:15,Prod,A1000204.6674,Tisch 12,113,S1000204.75275,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000204.75276,SP1000204.31.75276,SY1000204.2026.75276,iPad1(1000204),204,01.06.26 19:15,Prod,A1000204.6674,Tisch 12,113,S1000204.75276,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000204.75277,SP1000204.31.75277,SY1000204.2026.75277,iPad1(1000204),204,01.06.26 09:10,Prod,A1000204.6675,Tisch 6,111,S1000204.75277,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000204.75278,SP1000204.31.75278,SY1000204.2026.75278,iPad1(1000204),204,01.06.26 09:10,Prod,A1000204.6675,Tisch 6,111,S1000204.75278,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000204.75279,SP1000204.31.75279,SY1000204.2026.75279,iPad1(1000204),204,01.06.26 12:04,Prod,A1000204.6676,Tisch 23,111,S1000204.75279,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000204.75280,SP1000204.31.75280,SY1000204.2026.75280,iPad1(1000204),204,01.06.26 12:04,Prod,A1000204.6676,Tisch 23,111,S1000204.75280,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000204.75281,SP1000204.31.75281,SY1000204.2026.75281,iPad1(1000204),204,01.06.26 20:17,Prod,A1000204.6677,,102,S1000204.75281,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000204.75282,SP1000204.31.75282,SY1000204.2026.75282,iPad1(1000204),204,01.06.26 09:36,Prod,A1000204.6678,Tisch 6,115,S1000204.75282,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
