Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000326.38995,SP1000326.28.38995,SY1000326.2026.38995,iPad1(1000326),326,01.06.26 16:22,Prod,A1000326.6835,Tisch 17,109,S1000326.38995,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000326.38996,SP1000326.28.38996,SY1000326.2026.38996,iPad1(1000326),326,01.06.26 16:22,Prod,A1000326.6835,Tisch 17,109,S1000326.38996,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000326.38997,SP1000326.28.38997,SY1000326.2026.38997,iPad1(1000326),326,01.06.26 13:51,Prod,A1000326.6836,Tisch 21,103,S1000326.38997,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000326.38998,SP1000326.28.38998,SY1000326.2026.38998,iPad1(1000326),326,01.06.26 13:51,Prod,A1000326.6836,Tisch 21,103,S1000326.38998,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000326.38999,SP1000326.28.38999,SY1000326.2026.38999,iPad1(1000326),326,01.06.26 19:40,Prod,A1000326.6837,Tisch 15,101,S1000326.38999,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000326.39000,SP1000326.28.39000,SY1000326.2026.39000,iPad1(1000326),326,01.06.26 19:40,Prod,A1000326.6837,Tisch 15,101,S1000326.39000,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000326.39001,SP1000326.28.39001,SY1000326.2026.39001,iPad1(1000326),326,01.06.26 19:40,Prod,A1000326.6837,Tisch 15,101,S1000326.39001,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000326.39002,SP1000326.28.39002,SY1000326.2026.39002,iPad1(1000326),326,01.06.26 18:30,Prod,A1000326.6838,Tisch 2,103,S1000326.39002,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000326.39003,SP1000326.28.39003,SY1000326.2026.39003,iPad1(1000326),326,01.06.26 11:23,Prod,A1000326.6839,Tisch 15,110,S1000326.39003,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000326.39004,SP1000326.28.39004,SY1000326.2026.39004,iPad1(1000326),326,01.06.26 19:30,Prod,A1000326.6840,Tisch 15,109,S1000326.39004,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
