Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000076.31665,SP1000076.13.31665,SY1000076.2026.31665,iPad1(1000076),76,01.06.26 17:08,Prod,A1000076.6055,Tisch 23,116,S1000076.31665,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000076.31666,SP1000076.13.31666,SY1000076.2026.31666,iPad1(1000076),76,01.06.26 17:08,Prod,A1000076.6055,Tisch 23,116,S1000076.31666,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000076.31667,SP1000076.13.31667,SY1000076.2026.31667,iPad1(1000076),76,01.06.26 18:14,Prod,A1000076.6056,Tisch 21,120,S1000076.31667,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000076.31668,SP1000076.13.31668,SY1000076.2026.31668,iPad1(1000076),76,01.06.26 18:14,Prod,A1000076.6056,Tisch 21,120,S1000076.31668,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000076.31669,SP1000076.13.31669,SY1000076.2026.31669,iPad1(1000076),76,01.06.26 12:25,Prod,A1000076.6057,Tisch 17,120,S1000076.31669,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000076.31670,SP1000076.13.31670,SY1000076.2026.31670,iPad1(1000076),76,01.06.26 20:19,Prod,A1000076.6058,,119,S1000076.31670,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000076.31671,SP1000076.13.31671,SY1000076.2026.31671,iPad1(1000076),76,01.06.26 20:19,Prod,A1000076.6058,,119,S1000076.31671,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000076.31672,SP1000076.13.31672,SY1000076.2026.31672,iPad1(1000076),76,01.06.26 17:54,Prod,A1000076.6059,Tisch 9,104,S1000076.31672,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000076.31673,SP1000076.13.31673,SY1000076.2026.31673,iPad1(1000076),76,01.06.26 17:54,Prod,A1000076.6059,Tisch 9,104,S1000076.31673,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000076.31674,SP1000076.13.31674,SY1000076.2026.31674,iPad1(1000076),76,01.06.26 17:54,Prod,A1000076.6059,Tisch 9,104,S1000076.31674,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000076.31675,SP1000076.13.31675,SY1000076.2026.31675,iPad1(1000076),76,01.06.26 13:57,Prod,A1000076.6060,Tisch 21,104,S1000076.31675,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000076.31676,SP1000076.13.31676,SY1000076.2026.31676,iPad1(1000076),76,01.06.26 13:57,Prod,A1000076.6060,Tisch 21,104,S1000076.31676,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000076.31677,SP1000076.13.31677,SY1000076.2026.31677,iPad1(1000076),76,01.06.26 13:57,Prod,A1000076.6060,Tisch 21,104,S1000076.31677,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000076.31678,SP1000076.13.31678,SY1000076.2026.31678,iPad1(1000076),76,01.06.26 10:58,Prod,A1000076.6061,,110,S1000076.31678,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
