Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000113.60523,SP1000113.34.60523,SY1000113.2026.60523,iPad1(1000113),113,01.06.26 12:20,Prod,A1000113.6451,Tisch 14,115,S1000113.60523,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000113.60524,SP1000113.34.60524,SY1000113.2026.60524,iPad1(1000113),113,01.06.26 13:53,Prod,A1000113.6452,Tisch 14,115,S1000113.60524,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000113.60525,SP1000113.34.60525,SY1000113.2026.60525,iPad1(1000113),113,01.06.26 13:53,Prod,A1000113.6452,Tisch 14,115,S1000113.60525,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000113.60526,SP1000113.34.60526,SY1000113.2026.60526,iPad1(1000113),113,01.06.26 15:12,Prod,A1000113.6453,Tisch 12,120,S1000113.60526,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000113.60527,SP1000113.34.60527,SY1000113.2026.60527,iPad1(1000113),113,01.06.26 15:12,Prod,A1000113.6453,Tisch 12,120,S1000113.60527,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000113.60528,SP1000113.34.60528,SY1000113.2026.60528,iPad1(1000113),113,01.06.26 15:12,Prod,A1000113.6453,Tisch 12,120,S1000113.60528,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000113.60529,SP1000113.34.60529,SY1000113.2026.60529,iPad1(1000113),113,01.06.26 20:00,Prod,A1000113.6454,Tisch 2,115,S1000113.60529,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000113.60530,SP1000113.34.60530,SY1000113.2026.60530,iPad1(1000113),113,01.06.26 16:12,Prod,A1000113.6455,Tisch 15,119,S1000113.60530,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000113.60531,SP1000113.34.60531,SY1000113.2026.60531,iPad1(1000113),113,01.06.26 16:12,Prod,A1000113.6455,Tisch 15,119,S1000113.60531,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000113.60532,SP1000113.34.60532,SY1000113.2026.60532,iPad1(1000113),113,01.06.26 18:49,Prod,A1000113.6456,Tisch 22,113,S1000113.60532,VOID,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000113.60533,SP1000113.34.60533,SY1000113.2026.60533,iPad1(1000113),113,01.06.26 18:49,Prod,A1000113.6456,Tisch 22,113,S1000113.60533,VOID,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000113.60534,SP1000113.34.60534,SY1000113.2026.60534,iPad1(1000113),113,01.06.26 20:09,Prod,A1000113.6457,Tisch 4,115,S1000113.60534,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000113.60535,SP1000113.34.60535,SY1000113.2026.60535,iPad1(1000113),113,01.06.26 20:09,Prod,A1000113.6457,Tisch 4,115,S1000113.60535,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000113.60536,SP1000113.34.60536,SY1000113.2026.60536,iPad1(1000113),113,01.06.26 13:32,Prod,A1000113.6458,Tisch 8,109,S1000113.60536,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000113.60537,SP1000113.34.60537,SY1000113.2026.60537,iPad1(1000113),113,01.06.26 13:32,Prod,A1000113.6458,Tisch 8,109,S1000113.60537,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000113.60538,SP1000113.34.60538,SY1000113.2026.60538,iPad1(1000113),113,01.06.26 13:32,Prod,A1000113.6458,Tisch 8,109,S1000113.60538,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000113.60539,SP1000113.34.60539,SY1000113.2026.60539,iPad1(1000113),113,01.06.26 19:34,Prod,A1000113.6459,Tisch 15,120,S1000113.60539,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000113.60540,SP1000113.34.60540,SY1000113.2026.60540,iPad1(1000113),113,01.06.26 16:12,Prod,A1000113.6460,Tisch 20,117,S1000113.60540,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000113.60541,SP1000113.34.60541,SY1000113.2026.60541,iPad1(1000113),113,01.06.26 16:12,Prod,A1000113.6460,Tisch 20,117,S1000113.60541,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000113.60542,SP1000113.34.60542,SY1000113.2026.60542,iPad1(1000113),113,01.06.26 16:12,Prod,A1000113.6460,Tisch 20,117,S1000113.60542,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
