Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000039.66515,SP1000039.8.66515,SY1000039.2026.66515,iPad1(1000039),39,01.06.26 17:24,Prod,A1000039.6289,Tisch 17,107,S1000039.66515,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000039.66516,SP1000039.8.66516,SY1000039.2026.66516,iPad1(1000039),39,01.06.26 19:16,Prod,A1000039.6290,Tisch 3,102,S1000039.66516,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000039.66517,SP1000039.8.66517,SY1000039.2026.66517,iPad1(1000039),39,01.06.26 19:16,Prod,A1000039.6290,Tisch 3,102,S1000039.66517,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000039.66518,SP1000039.8.66518,SY1000039.2026.66518,iPad1(1000039),39,01.06.26 11:27,Prod,A1000039.6291,Tisch 23,102,S1000039.66518,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000039.66519,SP1000039.8.66519,SY1000039.2026.66519,iPad1(1000039),39,01.06.26 18:44,Prod,A1000039.6292,Tisch 8,102,S1000039.66519,VOID,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000039.66520,SP1000039.8.66520,SY1000039.2026.66520,iPad1(1000039),39,01.06.26 18:44,Prod,A1000039.6292,Tisch 8,102,S1000039.66520,VOID,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000039.66521,SP1000039.8.66521,SY1000039.2026.66521,iPad1(1000039),39,01.06.26 18:20,Prod,A1000039.6293,Tisch 21,114,S1000039.66521,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000039.66522,SP1000039.8.66522,SY1000039.2026.66522,iPad1(1000039),39,01.06.26 12:04,Prod,A1000039.6294,Tisch 15,110,S1000039.66522,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000039.66523,SP1000039.8.66523,SY1000039.2026.66523,iPad1(1000039),39,01.06.26 19:13,Prod,A1000039.6295,Tisch 4,107,S1000039.66523,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000039.66524,SP1000039.8.66524,SY1000039.2026.66524,iPad1(1000039),39,01.06.26 18:05,Prod,A1000039.6296,Tisch 21,114,S1000039.66524,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000039.66525,SP1000039.8.66525,SY1000039.2026.66525,iPad1(1000039),39,01.06.26 18:05,Prod,A1000039.6296,Tisch 21,114,S1000039.66525,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000039.66526,SP1000039.8.66526,SY1000039.2026.66526,iPad1(1000039),39,01.06.26 14:26,Prod,A1000039.6297,Tisch 24,114,S1000039.66526,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000039.66527,SP1000039.8.66527,SY1000039.2026.66527,iPad1(1000039),39,01.06.26 12:55,Prod,A1000039.6298,Tisch 23,102,S1000039.66527,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
