Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000163.64343,SP1000163.41.64343,SY1000163.2026.64343,iPad1(1000163),163,01.06.26 20:06,Prod,A1000163.6288,Tisch 5,113,S1000163.64343,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000163.64344,SP1000163.41.64344,SY1000163.2026.64344,iPad1(1000163),163,01.06.26 20:06,Prod,A1000163.6288,Tisch 5,113,S1000163.64344,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000163.64345,SP1000163.41.64345,SY1000163.2026.64345,iPad1(1000163),163,01.06.26 20:06,Prod,A1000163.6288,Tisch 5,113,S1000163.64345,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000163.64346,SP1000163.41.64346,SY1000163.2026.64346,iPad1(1000163),163,01.06.26 13:08,Prod,A1000163.6289,Tisch 4,116,S1000163.64346,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000163.64347,SP1000163.41.64347,SY1000163.2026.64347,iPad1(1000163),163,01.06.26 13:08,Prod,A1000163.6289,Tisch 4,116,S1000163.64347,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000163.64348,SP1000163.41.64348,SY1000163.2026.64348,iPad1(1000163),163,01.06.26 20:32,Prod,A1000163.6290,,116,S1000163.64348,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000163.64349,SP1000163.41.64349,SY1000163.2026.64349,iPad1(1000163),163,01.06.26 16:02,Prod,A1000163.6291,Tisch 15,113,S1000163.64349,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000163.64350,SP1000163.41.64350,SY1000163.2026.64350,iPad1(1000163),163,01.06.26 16:02,Prod,A1000163.6291,Tisch 15,113,S1000163.64350,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000163.64351,SP1000163.41.64351,SY1000163.2026.64351,iPad1(1000163),163,01.06.26 16:02,Prod,A1000163.6291,Tisch 15,113,S1000163.64351,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000163.64352,SP1000163.41.64352,SY1000163.2026.64352,iPad1(1000163),163,01.06.26 13:20,Prod,A1000163.6292,Tisch 23,119,S1000163.64352,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000163.64353,SP1000163.41.64353,SY1000163.2026.64353,iPad1(1000163),163,01.06.26 13:20,Prod,A1000163.6292,Tisch 23,119,S1000163.64353,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000163.64354,SP1000163.41.64354,SY1000163.2026.64354,iPad1(1000163),163,01.06.26 13:20,Prod,A1000163.6292,Tisch 23,119,S1000163.64354,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000163.64355,SP1000163.41.64355,SY1000163.2026.64355,iPad1(1000163),163,01.06.26 09:53,Prod,A1000163.6293,Tisch 14,112,S1000163.64355,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000163.64356,SP1000163.41.64356,SY1000163.2026.64356,iPad1(1000163),163,01.06.26 10:58,Prod,A1000163.6294,Tisch 18,116,S1000163.64356,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000163.64357,SP1000163.41.64357,SY1000163.2026.64357,iPad1(1000163),163,01.06.26 10:58,Prod,A1000163.6294,Tisch 18,116,S1000163.64357,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000163.64358,SP1000163.41.64358,SY1000163.2026.64358,iPad1(1000163),163,01.06.26 18:55,Prod,A1000163.6295,Tisch 3,108,S1000163.64358,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000163.64359,SP1000163.41.64359,SY1000163.2026.64359,iPad1(1000163),163,01.06.26 10:52,Prod,A1000163.6296,Tisch 15,112,S1000163.64359,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000163.64360,SP1000163.41.64360,SY1000163.2026.64360,iPad1(1000163),163,01.06.26 10:52,Prod,A1000163.6296,Tisch 15,112,S1000163.64360,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
