Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000300.47297,SP1000300.33.47297,SY1000300.2026.47297,iPad1(1000300),300,01.06.26 19:41,Prod,A1000300.6184,Tisch 11,107,S1000300.47297,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000300.47298,SP1000300.33.47298,SY1000300.2026.47298,iPad1(1000300),300,01.06.26 12:36,Prod,A1000300.6185,Tisch 23,119,S1000300.47298,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000300.47299,SP1000300.33.47299,SY1000300.2026.47299,iPad1(1000300),300,01.06.26 12:36,Prod,A1000300.6185,Tisch 23,119,S1000300.47299,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000300.47300,SP1000300.33.47300,SY1000300.2026.47300,iPad1(1000300),300,01.06.26 19:37,Prod,A1000300.6186,Tisch 11,107,S1000300.47300,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000300.47301,SP1000300.33.47301,SY1000300.2026.47301,iPad1(1000300),300,01.06.26 19:37,Prod,A1000300.6186,Tisch 11,107,S1000300.47301,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000300.47302,SP1000300.33.47302,SY1000300.2026.47302,iPad1(1000300),300,01.06.26 19:37,Prod,A1000300.6186,Tisch 11,107,S1000300.47302,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000300.47303,SP1000300.33.47303,SY1000300.2026.47303,iPad1(1000300),300,01.06.26 08:37,Prod,A1000300.6187,Tisch 16,105,S1000300.47303,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000300.47304,SP1000300.33.47304,SY1000300.2026.47304,iPad1(1000300),300,01.06.26 08:37,Prod,A1000300.6187,Tisch 16,105,S1000300.47304,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000300.47305,SP1000300.33.47305,SY1000300.2026.47305,iPad1(1000300),300,01.06.26 10:17,Prod,A1000300.6188,Tisch 2,111,S1000300.47305,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000300.47306,SP1000300.33.47306,SY1000300.2026.47306,iPad1(1000300),300,01.06.26 09:41,Prod,A1000300.6189,Tisch 7,111,S1000300.47306,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
