Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000295.58448,SP1000295.9.58448,SY1000295.2026.58448,iPad1(1000295),295,01.06.26 19:55,Prod,A1000295.6601,Tisch 14,115,S1000295.58448,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000295.58449,SP1000295.9.58449,SY1000295.2026.58449,iPad1(1000295),295,01.06.26 19:55,Prod,A1000295.6601,Tisch 14,115,S1000295.58449,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000295.58450,SP1000295.9.58450,SY1000295.2026.58450,iPad1(1000295),295,01.06.26 19:55,Prod,A1000295.6601,Tisch 14,115,S1000295.58450,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000295.58451,SP1000295.9.58451,SY1000295.2026.58451,iPad1(1000295),295,01.06.26 18:37,Prod,A1000295.6602,Tisch 11,103,S1000295.58451,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000295.58452,SP1000295.9.58452,SY1000295.2026.58452,iPad1(1000295),295,01.06.26 12:46,Prod,A1000295.6603,,103,S1000295.58452,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000295.58453,SP1000295.9.58453,SY1000295.2026.58453,iPad1(1000295),295,01.06.26 12:46,Prod,A1000295.6603,,103,S1000295.58453,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000295.58454,SP1000295.9.58454,SY1000295.2026.58454,iPad1(1000295),295,01.06.26 11:38,Prod,A1000295.6604,,115,S1000295.58454,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000295.58455,SP1000295.9.58455,SY1000295.2026.58455,iPad1(1000295),295,01.06.26 11:38,Prod,A1000295.6604,,115,S1000295.58455,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000295.58456,SP1000295.9.58456,SY1000295.2026.58456,iPad1(1000295),295,01.06.26 11:38,Prod,A1000295.6604,,115,S1000295.58456,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000295.58457,SP1000295.9.58457,SY1000295.2026.58457,iPad1(1000295),295,01.06.26 10:33,Prod,A1000295.6605,Tisch 21,108,S1000295.58457,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000295.58458,SP1000295.9.58458,SY1000295.2026.58458,iPad1(1000295),295,01.06.26 10:33,Prod,A1000295.6605,Tisch 21,108,S1000295.58458,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000295.58459,SP1000295.9.58459,SY1000295.2026.58459,iPad1(1000295),295,01.06.26 10:33,Prod,A1000295.6605,Tisch 21,108,S1000295.58459,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000295.58460,SP1000295.9.58460,SY1000295.2026.58460,iPad1(1000295),295,01.06.26 16:40,Prod,A1000295.6606,Tisch 7,108,S1000295.58460,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000295.58461,SP1000295.9.58461,SY1000295.2026.58461,iPad1(1000295),295,01.06.26 20:07,Prod,A1000295.6607,Tisch 23,108,S1000295.58461,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000295.58462,SP1000295.9.58462,SY1000295.2026.58462,iPad1(1000295),295,01.06.26 20:07,Prod,A1000295.6607,Tisch 23,108,S1000295.58462,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
