Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000059.57651,SP1000059.49.57651,SY1000059.2026.57651,iPad1(1000059),59,01.06.26 18:36,Prod,A1000059.6976,,116,S1000059.57651,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000059.57652,SP1000059.49.57652,SY1000059.2026.57652,iPad1(1000059),59,01.06.26 18:36,Prod,A1000059.6976,,116,S1000059.57652,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000059.57653,SP1000059.49.57653,SY1000059.2026.57653,iPad1(1000059),59,01.06.26 12:16,Prod,A1000059.6977,Tisch 6,116,S1000059.57653,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000059.57654,SP1000059.49.57654,SY1000059.2026.57654,iPad1(1000059),59,01.06.26 12:16,Prod,A1000059.6977,Tisch 6,116,S1000059.57654,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000059.57655,SP1000059.49.57655,SY1000059.2026.57655,iPad1(1000059),59,01.06.26 17:10,Prod,A1000059.6978,Tisch 14,112,S1000059.57655,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000059.57656,SP1000059.49.57656,SY1000059.2026.57656,iPad1(1000059),59,01.06.26 17:10,Prod,A1000059.6978,Tisch 14,112,S1000059.57656,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000059.57657,SP1000059.49.57657,SY1000059.2026.57657,iPad1(1000059),59,01.06.26 17:10,Prod,A1000059.6978,Tisch 14,112,S1000059.57657,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000059.57658,SP1000059.49.57658,SY1000059.2026.57658,iPad1(1000059),59,01.06.26 08:42,Prod,A1000059.6979,Tisch 1,112,S1000059.57658,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000059.57659,SP1000059.49.57659,SY1000059.2026.57659,iPad1(1000059),59,01.06.26 11:01,Prod,A1000059.6980,Tisch 24,115,S1000059.57659,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000059.57660,SP1000059.49.57660,SY1000059.2026.57660,iPad1(1000059),59,01.06.26 11:01,Prod,A1000059.6980,Tisch 24,115,S1000059.57660,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000059.57661,SP1000059.49.57661,SY1000059.2026.57661,iPad1(1000059),59,01.06.26 11:01,Prod,A1000059.6980,Tisch 24,115,S1000059.57661,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000059.57662,SP1000059.49.57662,SY1000059.2026.57662,iPad1(1000059),59,01.06.26 16:05,Prod,A1000059.6981,Tisch 20,112,S1000059.57662,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000059.57663,SP1000059.49.57663,SY1000059.2026.57663,iPad1(1000059),59,01.06.26 16:05,Prod,A1000059.6981,Tisch 20,112,S1000059.57663,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000059.57664,SP1000059.49.57664,SY1000059.2026.57664,iPad1(1000059),59,01.06.26 20:02,Prod,A1000059.6982,Tisch 15,112,S1000059.57664,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000059.57665,SP1000059.49.57665,SY1000059.2026.57665,iPad1(1000059),59,01.06.26 20:02,Prod,A1000059.6982,Tisch 15,112,S1000059.57665,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000059.57666,SP1000059.49.57666,SY1000059.2026.57666,iPad1(1000059),59,01.06.26 12:50,Prod,A1000059.6983,Tisch 6,112,S1000059.57666,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000059.57667,SP1000059.49.57667,SY1000059.2026.57667,iPad1(1000059),59,01.06.26 08:56,Prod,A1000059.6984,Tisch 3,101,S1000059.57667,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
