Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000019.23227,SP1000019.10.23227,SY1000019.2026.23227,iPad1(1000019),19,01.06.26 17:03,Prod,A1000019.6529,Tisch 1,104,S1000019.23227,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000019.23228,SP1000019.10.23228,SY1000019.2026.23228,iPad1(1000019),19,01.06.26 17:03,Prod,A1000019.6529,Tisch 1,104,S1000019.23228,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000019.23229,SP1000019.10.23229,SY1000019.2026.23229,iPad1(1000019),19,01.06.26 08:57,Prod,A1000019.6530,Tisch 21,102,S1000019.23229,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000019.23230,SP1000019.10.23230,SY1000019.2026.23230,iPad1(1000019),19,01.06.26 08:57,Prod,A1000019.6530,Tisch 21,102,S1000019.23230,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000019.23231,SP1000019.10.23231,SY1000019.2026.23231,iPad1(1000019),19,01.06.26 19:19,Prod,A1000019.6531,Tisch 14,103,S1000019.23231,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000019.23232,SP1000019.10.23232,SY1000019.2026.23232,iPad1(1000019),19,01.06.26 19:19,Prod,A1000019.6531,Tisch 14,103,S1000019.23232,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000019.23233,SP1000019.10.23233,SY1000019.2026.23233,iPad1(1000019),19,01.06.26 20:12,Prod,A1000019.6532,,116,S1000019.23233,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000019.23234,SP1000019.10.23234,SY1000019.2026.23234,iPad1(1000019),19,01.06.26 20:12,Prod,A1000019.6532,,116,S1000019.23234,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000019.23235,SP1000019.10.23235,SY1000019.2026.23235,iPad1(1000019),19,01.06.26 20:12,Prod,A1000019.6532,,116,S1000019.23235,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000019.23236,SP1000019.10.23236,SY1000019.2026.23236,iPad1(1000019),19,01.06.26 20:30,Prod,A1000019.6533,,107,S1000019.23236,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
