id,plz,stadt,lat,lon,liegenschaft
1,79365,Rheinhausen Breisgau,48.2167,7.71667,Einkaufszentrum
2,24107,Kiel Suchsdorf,54.3584056680968,10.0820694625378,Einkaufszentrum
3,56290,Lütz,50.1667,7.35,Innenstadt
4,54552,Ellscheid,50.15,6.91667,Andere
5,57520,Neunkhausen,50.7,7.9,Andere
6,55595,Münchwald,49.9,7.68333,Raststätte
7,22391,Hamburg Wandsbek,53.581944,10.084167,Andere
8,21521,Wohltorf,53.51973,10.2784,Innenstadt
9,35756,Mittenaar,50.7,8.38333,Innenstadt
10,07619,Schkölen bei Eisenberg,51.0333,11.8167,Einkaufszentrum
11,24256,Schlesen,54.3216456473495,10.3341166436672,Einkaufszentrum
12,17329,Nadrensee,53.33226,14.34938,Raststätte
13,59329,Wadersloh,51.73835,8.25045999999998,Innenstadt
14,85521,Hohenbrunn Riemerling,48.05,11.7,Einkaufszentrum
15,39345,Niedere Börde,52.2395875,11.53125,Raststätte
16,19395,Plau am See,53.4638870476234,12.2611125079345,Innenstadt
17,29416,Winterfeld bei Salzwedel,52.73864,11.24311,Andere
18,39606,Flessau,52.75984,11.67048,Innenstadt
19,14974,Trebbin Märkisch Wilmersdorf,52.23807,13.29648,Andere
20,94439,Roßbach-Niederbayern,48.6,12.9333,Einkaufszentrum
21,06502,Timmenrode,51.77217,11.00256,Innenstadt
22,22041,Hamburg Wandsbek,53.581944,10.084167,Einkaufszentrum
23,37327,Hausen-Eichsfeld,51.38049,10.37808,Raststätte
24,33378,Rheda-Wiedenbrück,51.85092,8.29646000000002,Einkaufszentrum
25,35083,Wetter Hessen,50.9,8.71667,Raststätte
26,74747,Ravenstein Baden,49.3939,9.5325,Andere
27,14929,Treuenbrietzen Niebel,52.1337928067681,12.9221274603271,Andere
28,59071,Hamm Westfalen Uentrop-Westfalen,51.69152,7.93997000000002,Andere
29,84028,Landshut-Isar,48.5361,12.1518,Andere
30,37235,Hessisch Lichtenau,51.19863,9.71974,Andere
31,39291,Reesen,52.28316,11.93494,Raststätte
32,55234,Esselborn,49.7153,8.11861,Einkaufszentrum
33,64589,Stockstadt am Rhein,49.8094,8.47278,Innenstadt
34,35108,Allendorf Eder,51.0333,8.67917,Innenstadt
35,66978,Donsieders,49.2667,7.64167,Andere
36,23684,Scharbeutz,54.0352,10.7512,Andere
37,91632,Wieseth,49.1667,10.4833,Einkaufszentrum
38,12351,Berlin,52.52468,13.40535,Raststätte
39,14532,Nuthetal,52.34061,13.11026,Raststätte
40,99189,Walschleben,51.0667,10.9333,Einkaufszentrum
41,63594,Hasselroth,50.1667,9.1,Einkaufszentrum
42,69257,Wiesenbach Baden,49.3614,8.80361,Innenstadt
43,85622,Vaterstetten Weißenfeld,48.1167,11.7833,Innenstadt
44,39439,Amesdorf,51.78057,11.5995800000001,Innenstadt
45,47809,Krefeld Dießem / Lehmheide,51.3233244664499,6.58206624015622,Innenstadt
46,96342,Stockheim,50.3,11.2667,Raststätte
47,06727,Döbris,51.1167,12.1333,Innenstadt
48,04129,Leipzig,51.3396,12.3713,Einkaufszentrum
49,14959,Trebbin Klein Schulzendorf,52.18978,13.2489,Innenstadt
50,94575,Windorf,48.626579,13.221013,Einkaufszentrum
51,97320,Großlangheim,49.75,10.2333,Innenstadt
52,17089,Werder bei Altentreptow Wodarg,53.74236,13.35207,Raststätte
53,66701,Beckingen,49.4,6.7,Innenstadt
54,35584,Wetzlar,50.55,8.5,Innenstadt
55,38474,Tülau,52.57716,10.87727,Raststätte
56,54597,Steffeln,50.2833,6.56667,Einkaufszentrum
57,25524,Heiligenstedten,53.93276,9.47465,Raststätte
58,99869,Günthersleben-Wechmar,50.9,10.775,Raststätte
59,55278,Ludwigshöhe-Rheinhessen,49.8167,8.34361,Innenstadt
60,56858,Mittelstrimmig,50.0833,7.28333,Innenstadt
61,56584,Rüscheid,50.5333,7.56667,Andere
62,18507,Grimmen Grimmen,54.10877,13.0355099999999,Einkaufszentrum
63,99831,Creuzburg,51.05,10.25,Einkaufszentrum
64,19079,Banzkow,53.5273,11.5257799999999,Raststätte
65,54472,Longkamp,49.8833,7.11667,Raststätte
66,79677,Fröhnd Schwarzwald,47.7595,7.88571,Innenstadt
67,55758,Asbach-Hunsrück,49.8167,7.28333,Innenstadt
68,19067,Cambs Ahrensbök,53.71701,11.53805,Andere
69,84543,Winhöring,48.2667,12.65,Raststätte
70,76891,Erlenbach bei Dahn,49.1167,7.86667,Andere
71,07774,Thierschneck,51.0333,11.7667,Raststätte
72,52066,Aachen,50.7667,6.1,Raststätte
73,09638,Lichtenberg / Erzgebirge,50.83637,13.42197,Raststätte
74,64569,Nauheim-Kreis Groß-Gerau,49.9508,8.46333,Andere
75,39221,Großmühlingen,51.9557,11.71018,Innenstadt
76,27299,Langwedel-Kreis Verden,52.98002,9.18256999999994,Einkaufszentrum
77,73453,Obergröningen Rötenbach bei Abtsgmünd,48.9167,9.914099,Einkaufszentrum
78,79117,Freiburg im Breisgau,48.0,7.85,Innenstadt
79,94250,Achslach,48.9667,12.9333,Raststätte
80,07929,Saalburg-Ebersdorf,50.4917,11.7,Innenstadt
81,16230,Sydower Fließ,52.7493299352636,13.7168201904296,Einkaufszentrum
82,74397,Pfaffenhofen Württemberg,49.0644,8.97639,Innenstadt
83,91174,Spalt,49.1667,10.9167,Raststätte
84,53547,Leubsdorf-Rhein,50.55,7.3,Einkaufszentrum
85,54597,Fleringen,50.2167,6.5,Andere
86,06295,Hedersleben bei Lutherstadt Eisleben,51.5487,11.64825,Einkaufszentrum
87,82279,Eching am Ammersee,48.0833,11.1167,Andere
88,85643,Steinhöring bei München,48.0833,12.0333,Einkaufszentrum
89,18184,Poppendorf bei Rostock Bussewitz,54.12595,12.3063999999999,Andere
90,87663,Lengenwang,47.7,10.6,Innenstadt
91,45139,Essen-Ruhr,51.4624880801468,7.00864483062742,Innenstadt
92,22339,Hamburg Wandsbek,53.581944,10.084167,Raststätte
93,57614,Borod-Westerwald,50.6667,7.7,Raststätte
94,06217,Beuna Geiseltal,51.32362,11.95907,Innenstadt
95,76131,Karlsruhe Baden Rintheim,49.0047,8.38583,Einkaufszentrum
96,91245,Simmelsdorf,49.6,11.35,Einkaufszentrum
97,38879,Schierke am Brocken,51.7623,10.6646900000001,Einkaufszentrum
98,37199,Wulften am Harz,51.66215,10.17633,Andere
99,10557,Berlin Mitte,52.5167453458334,13.3667957460327,Raststätte
100,21726,Heinbockel,53.57427,9.32633,Raststätte
101,54518,Altrich,49.95,6.91667,Innenstadt
102,07427,Schwarzburg,50.6333,11.2,Raststätte
103,93354,Biburg-Niederbayern,48.8,11.8667,Innenstadt
104,25548,Mühlenbarbek,53.957753,9.667185,Innenstadt
105,27624,Lintig,53.60386,8.88094999999998,Andere
106,73326,Deggingen,48.6,9.71667,Einkaufszentrum
107,39365,Wefensleben,52.17781,11.15888,Innenstadt
108,47800,Krefeld,51.3389572010443,6.58528489430751,Einkaufszentrum
109,87439,Kempten Allgäu,47.7167,10.3167,Raststätte
110,54636,Oberweis-Eifel,49.9667,6.41667,Andere
111,97359,Schwarzach am Main,49.8,10.2333,Andere
112,06779,Zörbig,51.62816,12.1197099999999,Andere
113,17440,Sauzin,54.03542,13.78511,Innenstadt
114,25590,Osterstedt,54.11061,9.57374000000004,Raststätte
115,78239,Rielasingen-Worblingen,47.7333,8.83333,Andere
116,49497,Mettingen-Westfalen,52.31716,7.78088000000002,Einkaufszentrum
117,31675,Bückeburg,52.2845,9.04948,Einkaufszentrum
118,91301,Forchheim-Oberfranken,49.7231,11.0669,Andere
119,99869,Goldbach bei Gotha,51.0,10.65,Andere
120,78141,Schönwald im Schwarzwald,48.1,8.2,Andere
121,16775,Gransee Neulögow,53.05991,13.13779,Innenstadt
122,17194,Klocksin,53.63489,12.53832,Andere
123,06577,Heldrungen,51.3,11.2167,Andere
124,91474,Langenfeld-Mittelfranken,49.6167,10.5167,Einkaufszentrum
125,56244,Hahn am See,50.5333,7.88333,Raststätte
126,38179,Schwülper,52.3562647621326,10.4319696243288,Innenstadt
127,02785,Olbersdorf,50.87375,14.77126,Andere
128,39638,Engersen,52.6188886329249,11.3409019470215,Andere
129,04936,Fichtwald,51.7001172676972,13.4667105343628,Andere
130,63743,Aschaffenburg,49.9739,9.14917,Einkaufszentrum
131,51469,Bergisch Gladbach,50.9833,7.13333,Einkaufszentrum
132,04924,Bad Liebenwerda Thalberg bei Bad Liebenwerda,51.53836,13.45097,Raststätte
133,69502,Hemsbach Bergstraße,49.5917,8.64639,Raststätte
134,24811,Ahlefeld bei Rendsburg,54.4035,9.67931,Raststätte
135,55120,Mainz,50.0,8.27111,Andere
136,23970,Benz bei Wismar Kalsow,53.92149,11.5788700000001,Innenstadt
137,55471,Külz Hunsrück,50.0,7.48333,Andere
138,91522,Ansbach-Mittelfranken,49.3,10.5833,Einkaufszentrum
139,96047,Bamberg,49.894263,10.88555,Andere
140,37642,Holenberg,51.90987,9.58590000000004,Raststätte
141,87538,Fischen im Allgäu,47.45,10.2667,Innenstadt
142,02699,Puschwitz bei Bautzen,51.25539,14.2985,Einkaufszentrum
143,26683,Saterland,53.1033,7.6825,Einkaufszentrum
144,15838,Zossen bei Berlin Waldstadt bei Wünsdorf,52.19122,13.46849,Innenstadt
145,22844,Norderstedt,53.67359,9.9857,Raststätte
146,84405,Obertaufkirchen Brunn bei Dorfen-Stadt,48.24358,12.222853,Innenstadt
147,66919,Obernheim-Kirchenarnbach,49.35,7.58333,Innenstadt
148,91177,Thalmässing-Mittelfranken,49.0881,11.2231,Raststätte
149,23974,Blowatz Wodorf,53.98089,11.52325,Innenstadt
150,66111,Saarbrücken,49.2333,7.0,Innenstadt
151,38465,Brome-Niedersachsen,52.6005,10.93559,Innenstadt
152,99752,Kleinbodungen,51.47087,10.5294699999999,Andere
153,49439,Steinfeld Oldenburg,52.5866180582847,8.20919598937985,Innenstadt
154,25560,Pöschendorf,54.038927,9.490787,Andere
155,83377,Vachendorf-Kreis Traunstein-Oberbayern,47.85,12.6167,Andere
156,06449,Schackenthal,51.73868,11.5895800000001,Andere
157,18225,Kühlungsborn-Ostseebad,54.13393,11.75212,Raststätte
158,18057,Rostock,54.08369,12.10063,Innenstadt
159,77749,Hohberg bei Offenburg,48.4167,7.91667,Raststätte
160,58849,Herscheid-Westfalen,51.1765003553344,7.74795079231262,Einkaufszentrum
161,86674,Baar Schwaben,48.5833,10.9667,Andere
162,86450,Altenmünster-Schwaben,48.4667,10.6,Andere
163,54426,Heidenburg,49.8,6.91667,Einkaufszentrum
164,14547,Beelitz-Mark,52.23908,12.97012,Innenstadt
165,66851,Gerhardsbrunn Scharrhof,49.35,7.51667,Einkaufszentrum
166,55779,Heimbach-Nahe,49.6167,7.25,Raststätte
167,13509,Berlin Reinickendorf,52.56755,13.33165,Andere
168,89231,Neu-Ulm,48.4,10.0167,Innenstadt
169,53773,Hennef Sieg,50.7833,7.28333,Einkaufszentrum
170,39326,Barleben,52.194433333333,11.5889,Raststätte
171,85609,Aschheim,48.1667,11.7167,Innenstadt
172,22964,Steinburg-Kreis Stormarn,53.69177,10.39204,Einkaufszentrum
173,56412,Niedererbach bei Montabaur,50.4167,7.98333,Innenstadt
174,18196,Damm bei Rostock Groß Viegeln,53.97922,12.15152,Andere
175,39175,Biederitz,52.158438983193,11.7205279312134,Raststätte
176,18519,Brandshagen,54.23977,13.17337,Einkaufszentrum
177,23845,Bahrenhof-Holstein,53.8697843894955,10.3640316613769,Andere
178,49777,Stavern-Emsl,52.80044,7.43673000000001,Einkaufszentrum
179,18320,Ahrenshagen-Daskow Altenwillershagen,54.25778,12.5698,Innenstadt
180,22529,Hamburg Hamburg-Nord,53.6153,9.99269,Einkaufszentrum
181,74246,Eberstadt Württemberg,49.1803,9.32111,Andere
182,76833,Walsheim-Pfalz,49.2372,8.12694,Innenstadt
183,27498,Helgoland,54.1828640617142,7.8855991488266,Einkaufszentrum
184,39606,Dobberkau,52.7044,11.60686,Andere
185,54636,Mülbach-Eifel,49.9667,6.4,Andere
