Identifikator,Perioden Id,Jahres Id,Geräte_Name,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1114672.46979,SP1114672.54.1,SY1114672.2026.46979,iPad1(1114672),01.06.26 10:26,Prod,A1114672.6459,Tisch 1,Manager(946638),S1114672.46979,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Pagersystem
S1114672.46980,SP1114672.54.2,SY1114672.2026.46980,iPad1(1114672),01.06.26 10:26,Prod,A1114672.6459,Tisch 1,Manager(946638),S1114672.46980,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.46981,SP1114672.54.3,SY1114672.2026.46981,iPad1(1114672),01.06.26 10:26,Prod,A1114672.6459,Tisch 1,Manager(946638),S1114672.46981,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Pagersystem
S1114672.46982,SP1114672.54.4,SY1114672.2026.46982,iPad1(1114672),01.06.26 10:26,Prod,A1114672.6459,Tisch 1,Manager(946638),S1114672.46982,SALE,1,2.0,2.0,0.0,0.0,0.0,0.0,130,Pommes statt Kartoffel,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,1.869159,0.130841,Pagersystem
S1114672.46983,SP1114672.54.5,SY1114672.2026.46983,iPad1(1114672),01.06.26 10:26,Prod,A1114672.6459,Tisch 1,Manager(946638),S1114672.46983,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Pagersystem
S1114672.46984,SP1114672.54.6,SY1114672.2026.46984,iPad1(1114672),01.06.26 10:26,Prod,A1114672.6459,Tisch 1,Manager(946638),S1114672.46984,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.46985,SP1114672.54.7,SY1114672.2026.46985,iPad1(1114672),01.06.26 10:26,Prod,A1114672.6459,Tisch 1,Manager(946638),S1114672.46985,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Pagersystem
S1114672.46986,SP1114672.54.8,SY1114672.2026.46986,iPad1(1114672),01.06.26 10:26,Prod,A1114672.6459,Tisch 1,Manager(946638),S1114672.46986,SALE,1,2.0,2.0,0.0,0.0,0.0,0.0,130,Pommes statt Kartoffel,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,1.869159,0.130841,Pagersystem
S1114672.46987,SP1114672.54.9,SY1114672.2026.46987,iPad1(1114672),01.06.26 10:26,Prod,A1114672.6459,Tisch 1,Manager(946638),S1114672.46987,SALE,1,4.4,4.4,0.0,0.0,0.0,0.0,I54,"Cola (0,5 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,3.697479,0.702521,Pagersystem
S1114672.46988,SP1114672.54.10,SY1114672.2026.46988,iPad1(1114672),01.06.26 10:27,Prod,A1114672.6459,Tisch 1,Manager(946638),S1114672.46988,SALE,1,3.5,3.5,0.0,0.0,0.0,0.0,I1,Alkoholfreies Bier,Getränke(1549873308501013),,MwSt. 19%,1.19,2.941176,0.558824,Pagersystem
S1114672.46989,SP1114672.54.11,SY1114672.2026.46989,iPad1(1114672),01.06.26 11:24,Prod,A1114672.6460,Tisch 2,Manager(946638),S1114672.46989,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,191,Spargelsuppe,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
